Outlet_ID,Outlet_Name,Avg_Employees,Avg_Employee_Turnover,Avg_Customer_Satisfaction,Total_Complaints,Staff_Status,Insight,Recommendation
OUT0023,Franchise Outlet 0023,10.0,8.47,3.24,996.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0024,Franchise Outlet 0024,14.0,7.88,3.43,881.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0025,Franchise Outlet 0025,11.0,6.15,4.15,665.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0026,Franchise Outlet 0026,18.0,6.47,3.71,809.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0027,Franchise Outlet 0027,16.0,8.36,3.29,922.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0028,Franchise Outlet 0028,22.0,5.65,4.08,649.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0029,Franchise Outlet 0029,17.0,9.78,3.02,1053.0,Needs Attention,"Staff performance requires attention due to concerns related to turnover, customer satisfaction or complaints.",Monitor employee turnover and improve staff training and customer service practices.
OUT0030,Franchise Outlet 0030,17.0,9.0,3.01,1048.0,Needs Attention,"Staff performance requires attention due to concerns related to turnover, customer satisfaction or complaints.",Monitor employee turnover and improve staff training and customer service practices.
OUT0031,Franchise Outlet 0031,22.0,6.14,3.96,707.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0032,Franchise Outlet 0032,24.0,10.66,2.91,1214.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0033,Franchise Outlet 0033,18.0,6.3,4.06,766.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0034,Franchise Outlet 0034,15.0,7.29,3.61,831.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0035,Franchise Outlet 0035,15.0,6.37,3.79,725.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0036,Franchise Outlet 0036,22.0,8.77,3.19,974.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0037,Franchise Outlet 0037,12.0,9.31,2.89,1112.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0038,Franchise Outlet 0038,31.0,9.72,2.96,1072.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0039,Franchise Outlet 0039,17.0,6.26,3.95,692.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0040,Franchise Outlet 0040,19.0,9.91,2.76,1320.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0041,Franchise Outlet 0041,13.0,8.57,3.36,1001.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0042,Franchise Outlet 0042,18.0,9.52,2.75,1232.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0043,Franchise Outlet 0043,12.0,8.65,3.29,977.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0044,Franchise Outlet 0044,19.0,7.78,3.37,896.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0045,Franchise Outlet 0045,19.0,10.92,2.71,1309.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0046,Franchise Outlet 0046,17.0,7.84,3.36,854.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0047,Franchise Outlet 0047,14.0,7.02,3.67,766.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0048,Franchise Outlet 0048,10.0,6.95,3.72,773.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0049,Franchise Outlet 0049,16.0,5.37,4.18,696.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0050,Franchise Outlet 0050,13.0,7.41,3.65,748.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0051,Franchise Outlet 0051,15.0,7.06,3.6,787.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0052,Franchise Outlet 0052,26.0,7.77,3.31,958.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0053,Franchise Outlet 0053,14.0,9.75,2.82,1323.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0054,Franchise Outlet 0054,28.0,9.61,2.85,1208.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0055,Franchise Outlet 0055,21.0,7.64,3.44,890.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0056,Franchise Outlet 0056,31.0,10.15,2.86,1318.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0057,Franchise Outlet 0057,19.0,7.56,3.67,825.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0058,Franchise Outlet 0058,13.0,8.64,3.12,989.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0059,Franchise Outlet 0059,25.0,7.34,3.6,816.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0060,Franchise Outlet 0060,20.0,7.42,3.64,807.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0061,Franchise Outlet 0061,21.0,6.23,3.99,698.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0062,Franchise Outlet 0062,15.0,8.48,3.51,872.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0063,Franchise Outlet 0063,16.0,8.3,3.35,921.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0064,Franchise Outlet 0064,26.0,7.19,3.51,859.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0065,Franchise Outlet 0065,14.0,6.17,3.79,798.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0066,Franchise Outlet 0066,7.0,5.68,4.11,675.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0067,Franchise Outlet 0067,16.0,7.66,3.66,774.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0068,Franchise Outlet 0068,21.0,8.75,3.13,1043.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0069,Franchise Outlet 0069,24.0,8.16,3.3,934.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0070,Franchise Outlet 0070,23.0,6.17,3.93,708.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0071,Franchise Outlet 0071,16.0,8.82,3.01,1047.0,Needs Attention,"Staff performance requires attention due to concerns related to turnover, customer satisfaction or complaints.",Monitor employee turnover and improve staff training and customer service practices.
OUT0072,Franchise Outlet 0072,22.0,9.48,2.83,1166.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0073,Franchise Outlet 0073,13.0,9.54,3.11,1042.0,Needs Attention,"Staff performance requires attention due to concerns related to turnover, customer satisfaction or complaints.",Monitor employee turnover and improve staff training and customer service practices.
OUT0074,Franchise Outlet 0074,14.0,6.74,3.59,870.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0075,Franchise Outlet 0075,13.0,8.03,3.37,868.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0076,Franchise Outlet 0076,16.0,9.87,2.96,1133.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0077,Franchise Outlet 0077,12.0,5.13,4.15,664.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0078,Franchise Outlet 0078,20.0,11.06,2.7,1354.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0079,Franchise Outlet 0079,22.0,6.88,3.67,764.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0080,Franchise Outlet 0080,18.0,9.38,2.83,1144.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0081,Franchise Outlet 0081,17.0,6.02,4.19,690.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0082,Franchise Outlet 0082,20.0,6.03,3.98,729.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0083,Franchise Outlet 0083,19.0,5.97,4.02,699.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0084,Franchise Outlet 0084,21.0,9.04,3.12,1035.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0085,Franchise Outlet 0085,19.0,7.07,3.82,756.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0086,Franchise Outlet 0086,12.0,5.72,4.0,691.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0087,Franchise Outlet 0087,18.0,7.04,3.56,785.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0088,Franchise Outlet 0088,17.0,10.39,2.89,1158.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0089,Franchise Outlet 0089,13.0,8.98,3.03,1101.0,Needs Attention,"Staff performance requires attention due to concerns related to turnover, customer satisfaction or complaints.",Monitor employee turnover and improve staff training and customer service practices.
OUT0090,Franchise Outlet 0090,23.0,9.86,2.89,1239.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0091,Franchise Outlet 0091,19.0,6.64,3.83,750.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0092,Franchise Outlet 0092,24.0,9.86,2.68,1268.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0093,Franchise Outlet 0093,21.0,9.11,3.02,1105.0,Needs Attention,"Staff performance requires attention due to concerns related to turnover, customer satisfaction or complaints.",Monitor employee turnover and improve staff training and customer service practices.
OUT0094,Franchise Outlet 0094,33.0,10.2,2.82,1202.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0095,Franchise Outlet 0095,17.0,6.88,3.75,763.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0096,Franchise Outlet 0096,15.0,5.48,4.3,662.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0097,Franchise Outlet 0097,22.0,7.2,3.61,855.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0098,Franchise Outlet 0098,22.0,10.8,2.73,1286.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0099,Franchise Outlet 0099,12.0,7.86,3.66,803.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0100,Franchise Outlet 0100,17.0,8.18,3.46,887.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0101,Franchise Outlet 0101,20.0,6.59,3.91,769.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0102,Franchise Outlet 0102,15.0,9.38,2.99,1154.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0103,Franchise Outlet 0103,16.0,5.71,4.33,666.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0104,Franchise Outlet 0104,20.0,8.45,3.42,887.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0105,Franchise Outlet 0105,25.0,6.98,3.74,816.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0106,Franchise Outlet 0106,15.0,6.38,4.14,678.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0107,Franchise Outlet 0107,16.0,7.72,3.73,790.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0108,Franchise Outlet 0108,6.0,7.19,3.57,822.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0109,Franchise Outlet 0109,16.0,8.27,3.56,850.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0110,Franchise Outlet 0110,12.0,8.11,3.36,974.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0111,Franchise Outlet 0111,9.0,6.58,3.88,743.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0112,Franchise Outlet 0112,18.0,5.57,3.96,722.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0113,Franchise Outlet 0113,26.0,8.45,3.41,892.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0114,Franchise Outlet 0114,24.0,7.44,3.62,853.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0115,Franchise Outlet 0115,4.0,9.33,3.03,1071.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0116,Franchise Outlet 0116,24.0,6.79,3.92,709.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0117,Franchise Outlet 0117,15.0,10.42,2.87,1251.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0118,Franchise Outlet 0118,17.0,6.61,3.82,732.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0119,Franchise Outlet 0119,21.0,7.95,3.51,895.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0120,Franchise Outlet 0120,16.0,10.02,2.79,1171.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0121,Franchise Outlet 0121,15.0,9.86,2.9,1192.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0122,Franchise Outlet 0122,19.0,10.09,3.18,996.0,Needs Attention,"Staff performance requires attention due to concerns related to turnover, customer satisfaction or complaints.",Monitor employee turnover and improve staff training and customer service practices.
OUT0123,Franchise Outlet 0123,28.0,6.9,3.6,873.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0124,Franchise Outlet 0124,19.0,8.96,2.99,1046.0,Needs Attention,"Staff performance requires attention due to concerns related to turnover, customer satisfaction or complaints.",Monitor employee turnover and improve staff training and customer service practices.
OUT0125,Franchise Outlet 0125,25.0,10.16,2.84,1244.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0126,Franchise Outlet 0126,13.0,7.89,3.24,933.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0127,Franchise Outlet 0127,16.0,7.49,3.56,792.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0128,Franchise Outlet 0128,17.0,9.59,2.81,1238.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0129,Franchise Outlet 0129,14.0,5.95,3.9,689.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0130,Franchise Outlet 0130,26.0,5.98,4.04,749.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0131,Franchise Outlet 0131,22.0,9.57,3.11,1023.0,Needs Attention,"Staff performance requires attention due to concerns related to turnover, customer satisfaction or complaints.",Monitor employee turnover and improve staff training and customer service practices.
OUT0132,Franchise Outlet 0132,22.0,8.73,3.34,1003.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0133,Franchise Outlet 0133,12.0,7.99,3.36,906.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0134,Franchise Outlet 0134,21.0,6.03,4.18,697.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0135,Franchise Outlet 0135,20.0,10.03,3.11,1106.0,Needs Attention,"Staff performance requires attention due to concerns related to turnover, customer satisfaction or complaints.",Monitor employee turnover and improve staff training and customer service practices.
OUT0136,Franchise Outlet 0136,11.0,8.73,3.18,1060.0,Needs Attention,"Staff performance requires attention due to concerns related to turnover, customer satisfaction or complaints.",Monitor employee turnover and improve staff training and customer service practices.
OUT0137,Franchise Outlet 0137,16.0,7.58,3.58,824.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0138,Franchise Outlet 0138,18.0,8.4,3.26,944.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0139,Franchise Outlet 0139,18.0,8.81,3.33,904.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0140,Franchise Outlet 0140,15.0,7.86,3.7,834.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0141,Franchise Outlet 0141,14.0,7.89,3.21,947.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0142,Franchise Outlet 0142,6.0,9.13,3.32,919.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0143,Franchise Outlet 0143,16.0,9.62,3.07,1123.0,Needs Attention,"Staff performance requires attention due to concerns related to turnover, customer satisfaction or complaints.",Monitor employee turnover and improve staff training and customer service practices.
OUT0144,Franchise Outlet 0144,4.0,9.08,3.17,949.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0145,Franchise Outlet 0145,18.0,10.16,2.66,1399.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0146,Franchise Outlet 0146,25.0,7.97,3.39,874.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0147,Franchise Outlet 0147,8.0,7.5,3.52,771.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0148,Franchise Outlet 0148,19.0,9.63,2.91,1196.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0149,Franchise Outlet 0149,20.0,7.15,3.56,828.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0150,Franchise Outlet 0150,18.0,10.57,2.91,1208.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0151,Franchise Outlet 0151,26.0,7.26,3.78,748.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0152,Franchise Outlet 0152,17.0,8.75,3.01,1112.0,Needs Attention,"Staff performance requires attention due to concerns related to turnover, customer satisfaction or complaints.",Monitor employee turnover and improve staff training and customer service practices.
OUT0153,Franchise Outlet 0153,22.0,6.3,4.17,709.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0154,Franchise Outlet 0154,26.0,10.22,2.86,1150.0,Critical,"High employee turnover, low customer satisfaction and high complaints indicate significant staff-related issues.","Review employee retention strategies, workload distribution and provide targeted staff training."
OUT0155,Franchise Outlet 0155,15.0,7.67,3.37,811.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0156,Franchise Outlet 0156,17.0,9.12,2.95,1049.0,Needs Attention,"Staff performance requires attention due to concerns related to turnover, customer satisfaction or complaints.",Monitor employee turnover and improve staff training and customer service practices.
OUT0157,Franchise Outlet 0157,10.0,6.05,4.09,666.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
OUT0158,Franchise Outlet 0158,17.0,6.49,3.94,698.0,Stable,Staff performance appears stable with healthy customer service indicators.,Maintain current staff management practices and continue monitoring staff performance.
