Outlet_ID,Outlet_Name,Month,Product_Category,Product_Type,SKU_ID,Closing_Stock_Units,Safety_Stock_Units,Reorder_Point_Units,Demand_Forecast_Next_Month_Units,Stock_Status,Replenishment_Required,Recommended_Replenishment_Units,Stock_Availability_%,Inventory_Turnover_Ratio,Wastage_Units,Freshness_Rate_%,Shelf_Life_Days,Agent_Action,Agent_Priority,Agent_Explanation
OUT0425,Franchise Outlet 0425,2024-11,Seasonal Products,Seasonal,SKU-0425-05,21,76,143,252.0,Critical,Yes,307,8.3,30.17,6,97.7,90,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0058,Franchise Outlet 0058,2025-01,Beverages,Perishable,SKU-0058-03,105,328,474,1093.333333333333,Critical,Yes,1316,9.6,32.67,52,96.3,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0114,Franchise Outlet 0114,2023-08,Personal Care,Non-Perishable,SKU-0114-04,77,147,278,489.6666666666667,Critical,Yes,560,15.7,25.15,1,99.8,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0568,Franchise Outlet 0568,2024-02,Beverages,Perishable,SKU-0568-03,78,417,649,1389.333333333333,Critical,Yes,1728,5.6,40.18,39,97.1,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0561,Franchise Outlet 0561,2024-07,Food & Beverage,Perishable,SKU-0561-01,391,1194,2388,3979.0,Critical,Yes,4782,9.8,20.82,151,95.5,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0507,Franchise Outlet 0507,2024-04,Packaged Goods,Non-Perishable,SKU-0507-02,158,236,472,788.0,Critical,Yes,866,20.1,26.78,3,99.7,180,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0586,Franchise Outlet 0586,2023-09,Food & Beverage,Perishable,SKU-0586-01,163,152,388,506.3333333333333,Critical,Yes,495,32.2,16.9,25,95.2,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0188,Franchise Outlet 0188,2025-12,Beverages,Perishable,SKU-0188-03,115,136,242,454.3333333333333,Critical,Yes,475,25.3,23.55,16,97.0,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0483,Franchise Outlet 0483,2023-10,Beverages,Perishable,SKU-0483-03,248,406,676,1352.333333333333,Critical,Yes,1510,18.3,32.21,64,95.4,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0444,Franchise Outlet 0444,2024-08,Personal Care,Non-Perishable,SKU-0444-04,103,181,342,602.3333333333334,Critical,Yes,680,17.1,29.96,5,99.1,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0706,Franchise Outlet 0706,2025-06,Food & Beverage,Perishable,SKU-0706-01,262,446,892,1487.333333333333,Critical,Yes,1671,17.6,19.01,49,96.2,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0281,Franchise Outlet 0281,2024-05,Food & Beverage,Perishable,SKU-0281-01,140,528,880,1759.0,Critical,Yes,2147,8.0,36.89,54,97.0,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0504,Franchise Outlet 0504,2024-12,Personal Care,Non-Perishable,SKU-0504-04,103,204,499,681.6666666666666,Critical,Yes,783,15.1,21.16,6,99.2,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0448,Franchise Outlet 0448,2023-02,Beverages,Perishable,SKU-0448-03,329,282,721,941.0,Critical,Yes,894,35.0,16.89,23,97.3,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0468,Franchise Outlet 0468,2023-09,Beverages,Perishable,SKU-0468-03,109,505,1066,1683.333333333333,Critical,Yes,2079,6.5,25.81,38,97.3,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0271,Franchise Outlet 0271,2024-06,Food & Beverage,Perishable,SKU-0271-01,166,211,352,703.3333333333334,Critical,Yes,748,23.6,21.53,33,95.3,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0478,Franchise Outlet 0478,2024-12,Beverages,Perishable,SKU-0478-03,359,657,876,2189.333333333333,Critical,Yes,2487,16.4,36.21,80,96.8,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0084,Franchise Outlet 0084,2024-07,Personal Care,Non-Perishable,SKU-0084-04,256,224,523,746.6666666666666,Critical,Yes,715,34.3,19.75,2,99.7,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0525,Franchise Outlet 0525,2024-08,Seasonal Products,Seasonal,SKU-0525-05,127,598,997,1993.666666666667,Critical,Yes,2465,6.4,34.41,30,98.7,90,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0728,Franchise Outlet 0728,2026-02,Beverages,Perishable,SKU-0728-03,223,456,659,1519.0,Critical,Yes,1752,14.7,25.79,69,95.6,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0169,Franchise Outlet 0169,2023-05,Personal Care,Non-Perishable,SKU-0169-04,111,378,672,1259.333333333333,Critical,Yes,1526,8.8,23.31,3,99.8,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0101,Franchise Outlet 0101,2023-05,Food & Beverage,Perishable,SKU-0101-01,464,420,980,1399.666666666667,Critical,Yes,1356,33.2,17.68,44,96.8,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0512,Franchise Outlet 0512,2025-10,Packaged Goods,Non-Perishable,SKU-0512-02,251,242,538,807.3333333333334,Critical,Yes,798,31.1,21.53,7,99.0,180,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0723,Franchise Outlet 0723,2024-10,Beverages,Perishable,SKU-0723-03,1400,1580,3862,5265.666666666667,Critical,Yes,5446,26.6,21.84,145,97.1,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0619,Franchise Outlet 0619,2026-01,Personal Care,Non-Perishable,SKU-0619-04,66,112,149,373.0,Critical,Yes,419,17.7,37.9,2,99.5,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0737,Franchise Outlet 0737,2026-03,Packaged Goods,Non-Perishable,SKU-0737-02,699,884,1965,2948.333333333333,Critical,Yes,3133,23.7,20.1,10,99.7,180,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0158,Franchise Outlet 0158,2023-05,Beverages,Perishable,SKU-0158-03,738,1102,2204,3671.666666666667,Critical,Yes,4036,20.1,25.35,144,96.0,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0014,Franchise Outlet 0014,2025-04,Personal Care,Non-Perishable,SKU-0014-04,88,242,564,805.6666666666666,Critical,Yes,960,10.9,20.79,4,99.6,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0738,Franchise Outlet 0738,2023-04,Beverages,Perishable,SKU-0738-03,81,119,212,398.3333333333333,Critical,Yes,436,20.3,30.68,9,98.0,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0074,Franchise Outlet 0074,2023-01,Personal Care,Non-Perishable,SKU-0074-04,550,766,1106,2553.0,Critical,Yes,2769,21.5,24.64,23,99.1,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0682,Franchise Outlet 0682,2025-09,Packaged Goods,Non-Perishable,SKU-0682-02,119,296,427,985.3333333333334,Critical,Yes,1162,12.1,34.44,5,99.5,180,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0559,Franchise Outlet 0559,2024-08,Personal Care,Non-Perishable,SKU-0559-04,61,190,444,634.0,Critical,Yes,763,9.6,24.74,2,99.7,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0096,Franchise Outlet 0096,2025-08,Food & Beverage,Perishable,SKU-0096-01,825,1211,2019,4037.666666666667,Critical,Yes,4424,20.4,25.64,143,96.3,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0445,Franchise Outlet 0445,2023-10,Seasonal Products,Seasonal,SKU-0445-05,256,1077,2154,3590.0,Critical,Yes,4411,7.1,28.78,82,98.0,90,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0208,Franchise Outlet 0208,2025-10,Beverages,Perishable,SKU-0208-03,134,157,401,522.3333333333334,Critical,Yes,545,25.7,16.54,13,97.5,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0113,Franchise Outlet 0113,2024-04,Beverages,Perishable,SKU-0113-03,178,186,372,621.0,Critical,Yes,629,28.7,16.77,15,97.0,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0601,Franchise Outlet 0601,2026-03,Food & Beverage,Perishable,SKU-0601-01,147,182,384,607.3333333333334,Critical,Yes,642,24.2,25.57,26,95.9,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0055,Franchise Outlet 0055,2024-06,Seasonal Products,Seasonal,SKU-0055-05,200,253,478,844.6666666666666,Critical,Yes,898,23.7,23.42,10,98.9,90,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0365,Franchise Outlet 0365,2024-09,Seasonal Products,Seasonal,SKU-0365-05,104,189,273,631.6666666666666,Critical,Yes,717,16.5,31.21,8,98.7,90,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0684,Franchise Outlet 0684,2025-10,Personal Care,Non-Perishable,SKU-0684-04,66,130,332,433.0,Critical,Yes,497,15.2,17.72,1,99.7,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0316,Franchise Outlet 0316,2025-04,Food & Beverage,Perishable,SKU-0316-01,218,234,494,781.3333333333334,Critical,Yes,797,27.9,24.16,37,95.1,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0143,Franchise Outlet 0143,2023-10,Beverages,Perishable,SKU-0143-03,58,185,308,617.3333333333334,Critical,Yes,744,9.4,27.05,11,98.1,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0177,Franchise Outlet 0177,2023-08,Packaged Goods,Non-Perishable,SKU-0177-02,373,527,1171,1756.0,Critical,Yes,1910,21.2,25.31,11,99.4,180,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0392,Franchise Outlet 0392,2023-04,Packaged Goods,Non-Perishable,SKU-0392-02,122,188,292,626.3333333333334,Critical,Yes,692,19.5,25.27,5,99.3,180,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0502,Franchise Outlet 0502,2023-11,Packaged Goods,Non-Perishable,SKU-0502-02,506,484,1022,1613.0,Critical,Yes,1591,31.4,19.07,5,99.6,180,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0525,Franchise Outlet 0525,2026-03,Seasonal Products,Seasonal,SKU-0525-05,206,630,1050,2101.666666666667,Critical,Yes,2526,9.8,24.96,39,98.1,90,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0434,Franchise Outlet 0434,2024-08,Personal Care,Non-Perishable,SKU-0434-04,238,351,507,1170.927733333333,Critical,Yes,1284,20.3,27.5,11,99.0,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0246,Franchise Outlet 0246,2025-09,Food & Beverage,Perishable,SKU-0246-01,90,186,269,619.0,Critical,Yes,715,14.5,28.02,15,97.5,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0667,Franchise Outlet 0667,2024-04,Packaged Goods,Non-Perishable,SKU-0667-02,1118,1464,2928,4880.0,Critical,Yes,5226,22.9,21.43,46,99.0,180,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0001,Franchise Outlet 0001,2023-09,Food & Beverage,Perishable,SKU-0001-01,55,282,407,939.3333333333334,Critical,Yes,1166,5.9,33.76,36,95.4,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0624,Franchise Outlet 0624,2025-08,Personal Care,Non-Perishable,SKU-0624-04,729,852,1609,2839.0,Critical,Yes,2962,25.7,17.83,20,99.2,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0745,Franchise Outlet 0745,2023-03,Seasonal Products,Seasonal,SKU-0745-05,423,522,1218,1741.0,Critical,Yes,1840,24.3,23.76,24,98.7,90,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0096,Franchise Outlet 0096,2025-07,Food & Beverage,Perishable,SKU-0096-01,744,1237,2061,4122.333333333333,Critical,Yes,4615,18.0,23.94,202,95.0,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0199,Franchise Outlet 0199,2024-08,Personal Care,Non-Perishable,SKU-0199-04,110,493,877,1644.0,Critical,Yes,2027,6.7,24.16,5,99.7,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0233,Franchise Outlet 0233,2024-08,Beverages,Perishable,SKU-0233-03,43,308,411,1028.0,Critical,Yes,1293,4.2,43.88,20,98.0,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0166,Franchise Outlet 0166,2023-06,Food & Beverage,Perishable,SKU-0166-01,688,645,1505,2149.333333333333,Critical,Yes,2106,32.0,18.72,39,98.0,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0357,Franchise Outlet 0357,2025-02,Packaged Goods,Non-Perishable,SKU-0357-02,76,122,176,406.3333333333333,Critical,Yes,452,18.7,35.49,5,98.9,180,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0588,Franchise Outlet 0588,2023-02,Beverages,Perishable,SKU-0588-03,92,154,222,512.0,Critical,Yes,574,18.0,20.55,13,96.8,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0633,Franchise Outlet 0633,2024-12,Beverages,Perishable,SKU-0633-03,178,200,378,666.0746666666666,Critical,Yes,688,26.7,26.69,18,97.6,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0314,Franchise Outlet 0314,2026-01,Personal Care,Non-Perishable,SKU-0314-04,615,882,1470,2940.0,Critical,Yes,3207,20.9,27.39,12,99.6,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0440,Franchise Outlet 0440,2023-06,Seasonal Products,Seasonal,SKU-0440-05,52,187,332,623.0,Critical,Yes,758,8.3,37.46,7,98.9,90,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0157,Franchise Outlet 0157,2024-02,Packaged Goods,Non-Perishable,SKU-0157-02,339,475,686,1584.666666666667,Critical,Yes,1721,21.4,30.59,4,99.7,180,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0349,Franchise Outlet 0349,2024-11,Personal Care,Non-Perishable,SKU-0349-04,406,996,1550,3321.0,Critical,Yes,3911,12.2,33.92,20,99.5,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0528,Franchise Outlet 0528,2026-02,Beverages,Perishable,SKU-0528-03,189,312,450,1038.666666666667,Critical,Yes,1162,18.2,36.95,42,96.5,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0701,Franchise Outlet 0701,2025-02,Food & Beverage,Perishable,SKU-0701-01,121,488,976,1625.666666666667,Critical,Yes,1993,7.4,21.39,39,97.5,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0635,Franchise Outlet 0635,2023-06,Seasonal Products,Seasonal,SKU-0635-05,264,359,559,1197.666666666667,Critical,Yes,1293,22.0,30.16,26,97.6,90,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0387,Franchise Outlet 0387,2024-03,Packaged Goods,Non-Perishable,SKU-0387-02,96,216,288,721.6666666666666,Critical,Yes,842,13.3,34.85,5,99.3,180,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0231,Franchise Outlet 0231,2023-07,Food & Beverage,Perishable,SKU-0231-01,139,166,314,554.3333333333334,Critical,Yes,581,25.1,24.28,25,95.1,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0122,Franchise Outlet 0122,2024-01,Packaged Goods,Non-Perishable,SKU-0122-02,89,309,687,1031.333333333333,Critical,Yes,1251,8.6,20.81,7,99.3,180,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0651,Franchise Outlet 0651,2024-04,Food & Beverage,Perishable,SKU-0651-01,121,531,1003,1769.0,Critical,Yes,2179,6.8,31.27,69,96.2,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0242,Franchise Outlet 0242,2025-07,Packaged Goods,Non-Perishable,SKU-0242-02,104,264,557,878.3333333333334,Critical,Yes,1038,11.8,20.87,9,99.0,180,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0250,Franchise Outlet 0250,2024-05,Seasonal Products,Seasonal,SKU-0250-05,336,1393,1857,4643.333333333333,Critical,Yes,5700,7.2,34.37,57,98.8,90,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0005,Franchise Outlet 0005,2025-12,Seasonal Products,Seasonal,SKU-0005-05,379,423,799,1411.0,Critical,Yes,1455,26.9,23.59,40,97.7,90,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0581,Franchise Outlet 0581,2025-04,Food & Beverage,Perishable,SKU-0581-01,446,737,1064,2455.333333333333,Critical,Yes,2746,18.2,34.0,96,96.0,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0573,Franchise Outlet 0573,2024-12,Beverages,Perishable,SKU-0573-03,219,320,533,1065.666666666667,Critical,Yes,1167,20.6,24.45,51,95.5,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0054,Franchise Outlet 0054,2024-07,Personal Care,Non-Perishable,SKU-0054-04,122,238,450,793.3333333333334,Critical,Yes,909,15.4,21.49,5,99.4,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0725,Franchise Outlet 0725,2024-06,Seasonal Products,Seasonal,SKU-0725-05,398,355,828,1182.333333333333,Critical,Yes,1139,33.7,22.85,15,98.9,90,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0136,Franchise Outlet 0136,2026-02,Food & Beverage,Perishable,SKU-0136-01,66,152,253,506.6666666666667,Critical,Yes,593,13.0,26.83,9,98.3,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0255,Franchise Outlet 0255,2025-11,Seasonal Products,Seasonal,SKU-0255-05,119,326,688,1087.0,Critical,Yes,1294,10.9,32.32,25,97.8,90,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0734,Franchise Outlet 0734,2025-01,Personal Care,Non-Perishable,SKU-0734-04,1021,886,2067,2953.0,Critical,Yes,2818,34.6,21.05,12,99.6,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0614,Franchise Outlet 0614,2026-04,Personal Care,Non-Perishable,SKU-0614-04,48,108,192,360.0,Critical,Yes,420,13.3,25.75,1,99.7,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0161,Franchise Outlet 0161,2024-02,Food & Beverage,Perishable,SKU-0161-01,132,268,685,893.0,Critical,Yes,1029,14.8,21.11,40,95.6,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0298,Franchise Outlet 0298,2025-04,Beverages,Perishable,SKU-0298-03,286,1409,2662,4697.666666666667,Critical,Yes,5821,6.1,27.23,129,96.7,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0254,Franchise Outlet 0254,2023-09,Personal Care,Non-Perishable,SKU-0254-04,425,871,1452,2902.666666666667,Critical,Yes,3349,14.6,29.82,33,98.9,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0122,Franchise Outlet 0122,2024-10,Packaged Goods,Non-Perishable,SKU-0122-02,133,306,680,1021.333333333333,Critical,Yes,1194,13.0,23.06,8,99.2,180,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0119,Franchise Outlet 0119,2025-11,Personal Care,Non-Perishable,SKU-0119-04,235,550,856,1834.666666666667,Critical,Yes,2150,12.8,29.81,5,99.8,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0739,Franchise Outlet 0739,2026-04,Personal Care,Non-Perishable,SKU-0739-04,144,300,667,1000.0,Critical,Yes,1156,14.4,26.11,8,99.4,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0147,Franchise Outlet 0147,2024-06,Packaged Goods,Non-Perishable,SKU-0147-02,161,294,392,981.3333333333334,Critical,Yes,1114,16.4,29.0,5,99.5,180,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0288,Franchise Outlet 0288,2023-10,Beverages,Perishable,SKU-0288-03,20,70,140,234.0,Critical,Yes,284,8.5,32.37,9,96.2,30,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0365,Franchise Outlet 0365,2023-07,Seasonal Products,Seasonal,SKU-0365-05,93,209,302,696.3333333333334,Critical,Yes,812,13.4,32.22,11,98.3,90,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0012,Franchise Outlet 0012,2025-12,Packaged Goods,Non-Perishable,SKU-0012-02,949,808,2066,2695.0,Critical,Yes,2554,35.2,17.5,7,99.8,180,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0464,Franchise Outlet 0464,2023-09,Personal Care,Non-Perishable,SKU-0464-04,169,233,440,776.3333333333334,Critical,Yes,840,21.8,19.3,5,99.3,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0642,Franchise Outlet 0642,2023-01,Packaged Goods,Non-Perishable,SKU-0642-02,1034,872,2131,2906.0,Critical,Yes,2744,35.6,16.23,31,98.9,180,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0744,Franchise Outlet 0744,2025-06,Personal Care,Non-Perishable,SKU-0744-04,185,240,400,798.6666666666666,Critical,Yes,854,23.2,22.89,8,98.9,365,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
OUT0351,Franchise Outlet 0351,2023-05,Food & Beverage,Perishable,SKU-0351-01,150,343,686,1144.333333333333,Critical,Yes,1337,13.1,30.6,47,96.0,14,URGENT_REORDER,High,Stock is critically low compared with inventory requirements. Immediate replenishment is recommended.
