Record_ID,Outlet_ID,Outlet_Name,Outlet_Type,City,State,Region,Month,Footfall,Orders,Conversion_Rate_%,Average_Order_Value_INR,Sales_Revenue_INR,COGS_INR,Operating_Cost_INR,Marketing_Spend_INR,Profit_INR,Profit_Margin_%,Employees,Employee_Turnover_%,Customer_Satisfaction_1_5,Complaints
REC000016,OUT0512,Franchise Outlet 0512,Franchise,Amritsar,Punjab,North,2024-07,3476.0,782.0,22.51,1681.19,1314693.25,645775.11,350258.61,92048.32,226611.2,17.24,19,8.86,2.91,22.0
REC000017,OUT0203,Franchise Outlet 0203,Franchise,Mysuru,Karnataka,South,2023-02,12411.0,2964.0,23.89,1522.35,4512239.49,2647299.3,1223629.72,308491.24,332819.23,7.38,12,8.0,4.2,16.0
REC000018,OUT0717,Franchise Outlet 0717,Franchise,Guwahati,Assam,East,2025-06,10116.0,2403.0,23.76,991.23,2381918.5,1468224.13,468152.09,143411.63,302130.64,12.68,13,5.75,3.56,20.0
REC000019,OUT0565,Franchise Outlet 0565,Franchise,Kolkata,West Bengal,East,2023-07,7122.0,1093.0,15.36,1491.66,1630379.76,801577.05,228609.92,65336.61,534856.18,32.81,14,10.21,2.3,39.0
REC000020,OUT0667,Franchise Outlet 0667,Franchise,Dehradun,Uttarakhand,North,2024-12,13565.0,4584.0,33.79,1327.94,6087290.38,3606382.76,1560163.88,384318.25,536425.49,8.81,19,7.18,4.35,16.0
REC000021,OUT0476,Franchise Outlet 0476,Franchise,Bhubaneswar,Odisha,East,2023-01,10843.0,3760.0,34.68,1602.33,6024743.31,3322002.02,1501630.62,122707.58,1078403.09,17.9,33,4.05,4.21,16.0
REC000022,OUT0365,Franchise Outlet 0365,Company-Owned,Jaipur,Rajasthan,North,2025-10,5755.0,679.0,11.8,1729.18,1174116.2,698410.52,330063.57,84962.13,60679.98,5.17,19,9.86,2.76,33.0
REC000023,OUT0084,Franchise Outlet 0084,Franchise,Visakhapatnam,Andhra Pradesh,South,2023-02,4157.0,729.0,17.54,1476.8,1076584.07,574294.3,235888.14,82058.93,184342.71,17.12,21,9.21,3.47,32.0
REC000024,OUT0706,Franchise Outlet 0706,Franchise,Vadodara,Gujarat,West,2025-08,7895.0,1452.0,18.4,595.81,865112.28,541572.31,133157.26,56253.01,134129.71,15.5,7,9.54,3.16,14.0
REC000025,OUT0371,Franchise Outlet 0371,Franchise,Ahmedabad,Gujarat,West,2026-04,,1141.0,24.62,685.77,782460.9,484601.21,218234.91,52727.28,26897.49,3.44,17,8.86,4.48,20.0
REC000026,OUT0062,Franchise Outlet 0062,Franchise,Amritsar,Punjab,North,2025-01,3142.0,725.0,23.09,518.57,375962.05,170092.95,104856.59,9787.97,91224.54,24.26,15,6.39,3.31,19.0
REC000027,OUT0380,Franchise Outlet 0380,Franchise,Coimbatore,Tamil Nadu,South,2023-12,3657.0,862.0,23.58,1133.24,976850.29,492312.41,141455.73,65200.08,277882.06,28.45,23,,4.1,22.0
REC000028,OUT0161,Franchise Outlet 0161,Franchise,Ahmedabad,Gujarat,West,2025-12,4989.0,826.0,16.56,1710.91,1413211.67,807470.66,247822.98,112434.53,245483.5,17.37,21,13.09,1.88,33.0
REC000029,OUT0007,Franchise Outlet 0007,Franchise,Dehradun,Uttarakhand,North,2025-06,4068.0,829.0,20.39,827.92,686344.82,423200.59,199151.01,33461.07,30532.16,4.45,12,3.86,4.33,17.0
REC000030,OUT0605,Franchise Outlet 0605,Franchise,Jaipur,Rajasthan,North,2026-02,5639.0,1222.0,21.69,567.28,693210.21,394965.56,112813.28,39119.2,146312.17,21.11,14,10.64,3.84,21.0
REC000031,OUT0563,Franchise Outlet 0563,Franchise,Mysuru,Karnataka,South,2026-04,15026.0,4294.0,28.58,537.07,2306196.18,1339577.45,353718.72,115417.68,497482.33,21.57,8,7.82,4.11,12.0
REC000032,OUT0040,Franchise Outlet 0040,Franchise,Pune,Maharashtra,West,2023-01,8496.0,1597.0,18.81,1731.01,2764422.12,1570325.41,550711.8,172303.23,471081.68,17.04,19,9.6,3.03,22.0
REC000033,OUT0193,Franchise Outlet 0193,Franchise,Indore,Madhya Pradesh,West,2024-07,8163.0,1461.0,17.91,874.91,1278243.93,627424.98,347900.93,62180.4,240737.62,18.83,16,12.62,3.15,25.0
REC000034,OUT0146,Franchise Outlet 0146,Franchise,Bhubaneswar,Odisha,East,2026-04,8455.0,2065.0,24.43,477.75,986560.7,573100.33,276845.67,26733.15,109881.55,11.14,25,5.56,3.19,29.0
REC000035,OUT0569,Franchise Outlet 0569,Franchise,Ranchi,Jharkhand,East,2025-12,3371.0,498.0,14.79,1790.31,891574.66,573276.21,162092.7,34615.65,121590.1,13.64,23,10.77,2.62,33.0
REC000036,OUT0170,Franchise Outlet 0170,Franchise,Coimbatore,Tamil Nadu,South,2023-12,5378.0,943.0,17.55,815.58,769095.34,407799.5,200346.97,36791.79,124157.08,16.14,14,6.57,,21.0
REC000037,OUT0157,Franchise Outlet 0157,Franchise,Dehradun,Uttarakhand,North,2023-06,4993.0,1746.0,34.97,935.61,1633569.69,737988.15,361664.82,64496.59,469420.13,28.74,10,2.41,4.04,19.0
REC000038,OUT0684,Franchise Outlet 0684,Franchise,Visakhapatnam,Andhra Pradesh,South,2023-12,2369.0,434.0,18.34,1781.03,772967.25,500736.36,220762.58,32997.87,18470.43,2.39,24,11.63,3.57,29.0
REC000039,OUT0089,Franchise Outlet 0089,Company-Owned,Ranchi,Jharkhand,East,2023-12,3497.0,640.0,18.32,1142.11,730949.03,454000.47,218160.32,30760.62,28027.62,3.83,13,7.03,2.57,29.0
REC000040,OUT0338,Franchise Outlet 0338,Franchise,Jammu,Jammu & Kashmir,North,2023-06,8167.0,1337.0,16.38,1415.3,1892251.67,1083087.14,453903.63,137328.54,217932.36,11.52,20,9.54,3.07,22.0
REC000041,OUT0394,Franchise Outlet 0394,Franchise,Delhi,Delhi,North,2025-09,9641.0,1127.0,11.7,912.15,1027987.52,641601.83,223668.77,25162.2,137554.72,13.38,10,9.23,2.8,23.0
REC000042,OUT0577,Franchise Outlet 0577,Franchise,Dehradun,Uttarakhand,North,2024-10,7767.0,1413.0,18.2,1698.32,2399726.57,1084860.29,658368.69,90465.57,566032.01,23.59,15,8.81,4.02,16.0
REC000043,OUT0411,Franchise Outlet 0411,Franchise,Kochi,Kerala,South,2025-07,4526.0,1061.0,23.46,710.41,753749.26,442157.23,200753.74,32501.78,78336.52,10.39,22,6.93,4.1,23.0
REC000044,OUT0604,Franchise Outlet 0604,Franchise,Delhi,Delhi,North,2026-03,13982.0,4245.0,30.37,1818.68,7720302.65,4923163.84,1565198.97,420586.7,811353.14,10.51,16,2.34,4.51,13.0
REC000045,OUT0065,Franchise Outlet 0065,Franchise,Jaipur,Rajasthan,North,2024-05,10216.0,2543.0,24.9,588.46,1496457.08,730720.35,211124.23,36675.34,517937.16,34.61,14,6.54,4.12,17.0
REC000046,OUT0616,Franchise Outlet 0616,Franchise,Vadodara,Gujarat,West,2026-01,8709.0,1696.0,19.48,1373.67,2329750.0,1392047.84,366945.24,135294.17,435462.75,18.69,17,9.24,2.13,35.0
REC000047,OUT0225,Franchise Outlet 0225,Franchise,Nashik,Maharashtra,West,2023-06,7294.0,1155.0,15.84,1801.72,2080990.73,1268924.79,476024.07,142963.15,193078.72,9.28,7,5.25,2.95,34.0
REC000048,OUT0540,Franchise Outlet 0540,Franchise,Siliguri,West Bengal,East,2023-03,5480.0,1598.0,29.17,1424.23,2275919.95,1296672.34,519919.81,117268.4,342059.4,15.03,15,8.94,4.16,24.0
REC000049,OUT0452,Franchise Outlet 0452,Franchise,Amritsar,Punjab,North,2025-09,3469.0,786.0,22.68,598.2,470182.77,243846.91,131634.58,28930.3,65770.98,13.99,13,7.29,2.44,32.0
REC000050,OUT0130,Franchise Outlet 0130,Franchise,Pune,Maharashtra,West,2025-10,2927.0,900.0,30.76,579.91,521920.87,261973.04,83023.54,13299.53,163624.76,31.35,26,8.04,4.31,13.0
REC000051,OUT0639,Franchise Outlet 0639,Franchise,Mumbai,Maharashtra,West,2025-06,4986.0,1394.0,27.97,1047.67,1460452.04,927093.79,359940.37,60867.9,112549.97,7.71,23,7.15,4.12,14.0
REC000052,OUT0630,Franchise Outlet 0630,Franchise,Siliguri,West Bengal,East,2025-04,6343.0,1040.0,16.4,682.24,709533.94,397779.74,178218.56,35895.48,97640.15,13.76,24,10.66,3.12,17.0
REC000053,OUT0406,Franchise Outlet 0406,Franchise,Vadodara,Gujarat,West,2024-11,9628.0,2062.0,21.42,641.55,1322883.07,602303.33,237527.04,42231.06,440821.64,33.32,18,7.25,,17.0
REC000054,OUT0388,Franchise Outlet 0388,Franchise,Patna,Bihar,East,2024-01,7072.0,1530.0,21.64,895.35,1369884.3,833380.24,370123.39,51071.41,115309.26,8.42,12,11.06,2.81,26.0
REC000055,OUT0195,Franchise Outlet 0195,Company-Owned,Nashik,Maharashtra,West,2025-08,11609.0,2761.0,23.78,893.88,2468014.97,1536527.65,609184.39,177550.91,144752.02,5.87,18,5.88,,14.0
REC000056,OUT0427,Franchise Outlet 0427,Franchise,Dehradun,Uttarakhand,North,2025-10,2835.0,576.0,20.33,1107.79,638086.54,303470.19,101425.17,31483.52,201707.66,31.61,15,5.38,3.86,19.0
REC000057,OUT0224,Franchise Outlet 0224,Franchise,Nagpur,Maharashtra,West,2025-05,7215.0,2937.0,40.71,565.28,1660225.18,963423.09,316917.36,59234.38,320650.35,19.31,18,1.35,3.94,10.0
REC000058,OUT0281,Franchise Outlet 0281,Franchise,Ahmedabad,Gujarat,West,2024-01,9925.0,1888.0,19.03,885.65,1672110.17,839594.14,387773.9,110003.02,334739.12,20.02,20,11.23,3.65,31.0
REC000059,OUT0531,Franchise Outlet 0531,Franchise,Kochi,Kerala,South,2026-03,14030.0,4249.0,30.29,581.69,2471612.22,1489585.68,635615.02,122957.61,223453.9,9.04,19,10.81,3.72,18.0
REC000060,OUT0674,Franchise Outlet 0674,Franchise,Nagpur,Maharashtra,West,2025-01,1942.0,295.0,15.23,914.94,269908.32,155125.47,44277.97,16877.69,53627.18,19.87,23,8.66,2.32,24.0
REC000061,OUT0372,Franchise Outlet 0372,Franchise,Surat,Gujarat,West,2023-12,2407.0,719.0,29.89,1446.14,1039772.82,556045.11,186683.2,51764.44,245280.06,23.59,21,5.49,4.01,19.0
REC000062,OUT0496,Franchise Outlet 0496,Franchise,Vadodara,Gujarat,West,2023-01,10002.0,2091.0,20.91,1366.9,2858184.69,1673174.84,665801.67,151213.27,367994.92,12.88,17,5.7,4.05,19.0
REC000063,OUT0269,Franchise Outlet 0269,Franchise,Ranchi,Jharkhand,East,2023-02,10717.0,1955.0,18.24,1299.49,2540509.47,1458898.38,530202.47,147857.04,403551.59,15.88,20,7.39,2.64,27.0
REC000064,OUT0085,Franchise Outlet 0085,Franchise,Kolkata,West Bengal,East,2024-10,7384.0,1713.0,23.2,1318.85,2259185.16,1467654.84,397365.53,98848.6,295316.2,13.07,19,7.67,4.08,17.0
REC000065,OUT0670,Franchise Outlet 0670,Franchise,Pune,Maharashtra,West,2025-10,3777.0,577.0,15.28,711.85,410740.26,248459.82,71198.25,8686.79,82395.41,20.06,14,11.51,3.55,
REC000066,OUT0210,Franchise Outlet 0210,Franchise,Siliguri,West Bengal,East,2026-04,3736.0,871.0,23.33,1589.76,1384678.28,849146.17,318230.55,99721.97,117579.59,8.49,10,5.51,3.97,17.0
REC000067,OUT0651,Franchise Outlet 0651,Franchise,Kochi,Kerala,South,2023-03,6248.0,1760.0,28.18,695.32,1223760.46,719234.98,287640.64,92622.08,124262.76,10.15,19,2.69,4.09,11.0
REC000068,OUT0678,Franchise Outlet 0678,Franchise,Hyderabad,Telangana,South,2025-02,3022.0,627.0,20.76,1194.01,748644.05,369449.72,201675.86,15829.92,161688.55,21.6,19,8.76,3.66,33.0
REC000069,OUT0355,Franchise Outlet 0355,Franchise,Kolkata,West Bengal,East,2024-10,4415.0,766.0,17.36,1368.42,1048212.54,613828.37,184124.61,28600.28,221659.27,21.15,27,10.83,2.3,34.0
REC000070,OUT0019,Franchise Outlet 0019,Franchise,Chennai,Tamil Nadu,South,2025-11,3427.0,1153.0,33.66,1599.08,1843744.75,1145158.55,287004.53,107269.45,304312.21,16.51,22,8.39,4.18,16.0
REC000071,OUT0431,Franchise Outlet 0431,Franchise,Ahmedabad,Gujarat,West,2024-05,6859.0,1290.0,18.82,1293.32,1668380.2,1067040.13,269305.61,74793.63,257240.84,15.42,11,11.45,2.84,24.0
REC000072,OUT0739,Franchise Outlet 0739,Franchise,Chennai,Tamil Nadu,South,2025-06,8625.0,961.0,11.15,1614.39,1551425.84,781338.43,424878.85,50717.25,294491.31,18.98,17,10.7,2.72,30.0
REC000073,OUT0209,Franchise Outlet 0209,Franchise,Ranchi,Jharkhand,East,2025-09,8340.0,1544.0,18.51,1217.26,1879446.99,912187.06,425297.25,79395.94,462566.75,24.61,25,6.95,3.56,32.0
REC000074,OUT0334,Franchise Outlet 0334,Company-Owned,Delhi,Delhi,North,2025-12,7895.0,1223.0,15.5,1749.5,2139643.93,1358360.59,581997.27,74145.2,125140.87,5.85,15,14.57,3.36,25.0
REC000075,OUT0114,Franchise Outlet 0114,Company-Owned,Visakhapatnam,Andhra Pradesh,South,2024-06,2203.0,530.0,24.07,1176.24,623408.86,390311.65,158165.48,22744.0,52187.73,8.37,24,6.79,3.46,12.0
REC000076,OUT0548,Franchise Outlet 0548,Franchise,Jammu,Jammu & Kashmir,North,2023-07,1980.0,285.0,14.39,1503.73,428563.57,203858.99,75115.22,8900.72,140688.65,32.83,21,8.75,3.16,20.0
REC000077,OUT0265,Franchise Outlet 0265,Franchise,Kolkata,West Bengal,East,2024-03,5065.0,1294.0,25.56,947.44,1225986.28,768723.32,298263.51,58994.39,100005.06,8.16,28,7.47,3.94,24.0
REC000078,OUT0588,Franchise Outlet 0588,Franchise,Hyderabad,Telangana,South,2025-06,2611.0,411.0,15.75,1509.96,620594.93,363139.35,142116.12,33298.52,82040.94,13.22,18,15.69,2.93,26.0
REC000079,OUT0526,Franchise Outlet 0526,Franchise,Vadodara,Gujarat,West,2023-05,9196.0,1862.0,20.25,1927.08,3588219.85,2049598.95,859295.18,128925.31,550400.41,15.34,24,10.87,3.44,16.0
REC000080,OUT0218,Franchise Outlet 0218,Franchise,Jammu,Jammu & Kashmir,North,2025-12,9002.0,1785.0,19.83,1369.01,2443679.68,1162299.59,408992.44,123248.19,749139.46,30.66,29,8.0,3.45,19.0
REC000081,OUT0132,Franchise Outlet 0132,Company-Owned,Surat,Gujarat,West,2023-04,8667.0,1727.0,19.93,620.62,1071818.37,488014.83,224265.31,84116.42,275421.8,25.7,22,11.76,3.67,27.0
REC000082,OUT0407,Franchise Outlet 0407,Franchise,Bengaluru,Karnataka,South,2024-03,4039.0,971.0,24.05,1559.99,1514749.95,796603.01,403298.3,89876.14,224972.5,14.85,20,10.18,3.03,23.0
REC000083,OUT0354,Franchise Outlet 0354,Franchise,Visakhapatnam,Andhra Pradesh,South,2026-03,15128.0,4252.0,28.11,1686.64,7171581.5,3886345.81,1402683.86,270746.68,1611805.16,22.47,10,5.86,3.75,13.0
REC000084,OUT0321,Franchise Outlet 0321,Franchise,Kochi,Kerala,South,2026-01,4139.0,712.0,17.21,1356.8,966040.33,488465.5,148313.72,67424.8,261836.31,27.1,15,5.0,2.9,25.0
REC000085,OUT0246,Franchise Outlet 0246,Company-Owned,Lucknow,Uttar Pradesh,North,2023-07,2910.0,611.0,21.02,1224.65,748258.12,433144.95,188443.88,46487.45,80181.84,10.72,15,7.29,2.98,17.0
REC000086,OUT0180,Franchise Outlet 0180,Franchise,Siliguri,West Bengal,East,2024-09,3057.0,728.0,23.83,1436.43,1045721.9,615375.11,245359.39,30417.65,154569.75,14.78,15,5.98,,21.0
REC000087,OUT0120,Franchise Outlet 0120,Franchise,Siliguri,West Bengal,East,2024-06,2413.0,504.0,20.9,906.95,457102.55,210767.39,64019.92,18395.03,163920.2,35.86,16,6.35,2.98,34.0
REC000088,OUT0453,Franchise Outlet 0453,Franchise,Chandigarh,Chandigarh,North,2026-01,2399.0,409.0,17.06,1335.81,546347.86,273896.69,86953.73,22180.56,163316.89,29.89,26,5.67,3.6,12.0
REC000089,OUT0118,Franchise Outlet 0118,Franchise,Patna,Bihar,East,2026-01,8641.0,2561.0,29.65,1788.24,4579680.0,2134515.45,1364790.12,152160.28,928214.15,20.27,17,7.56,4.46,18.0
REC000090,OUT0661,Franchise Outlet 0661,Franchise,Ludhiana,Punjab,North,2025-12,8929.0,1822.0,20.41,1285.11,2341464.32,1505337.5,532702.28,160464.12,142960.42,6.11,15,13.9,3.11,24.0
REC000091,OUT0640,Franchise Outlet 0640,Company-Owned,Pune,Maharashtra,West,2024-01,13151.0,3665.0,27.87,1415.67,5188415.62,2527110.29,1353103.04,214993.86,1093208.42,21.07,13,5.35,4.18,29.0
REC000092,OUT0497,Franchise Outlet 0497,Franchise,Bengaluru,Karnataka,South,2026-04,,1471.0,19.35,538.96,792809.89,449550.75,193297.73,50402.43,99558.98,12.56,17,9.07,2.78,28.0
REC000093,OUT0059,Franchise Outlet 0059,Franchise,Ranchi,Jharkhand,East,2024-06,7116.0,1978.0,27.8,621.4,1229122.22,612079.03,293310.32,95328.4,228404.47,18.58,25,8.35,2.9,27.0
REC000094,OUT0139,Franchise Outlet 0139,Franchise,Chennai,Tamil Nadu,South,2025-12,10387.0,1348.0,12.98,1830.0,2466843.17,1574841.73,659129.49,74526.61,158345.33,6.42,18,7.58,3.15,37.0
REC000095,OUT0458,Franchise Outlet 0458,Company-Owned,Jammu,Jammu & Kashmir,North,2025-07,4778.0,1164.0,24.37,743.66,865617.41,504394.09,234069.71,63933.48,63220.14,7.3,22,2.83,4.31,18.0
REC000096,OUT0519,Franchise Outlet 0519,Franchise,Mumbai,Maharashtra,West,2025-04,9173.0,1786.0,19.48,1037.05,1852178.16,1047825.81,403485.71,84148.34,316718.29,17.1,23,7.81,3.95,18.0
REC000097,OUT0104,Franchise Outlet 0104,Company-Owned,Nagpur,Maharashtra,West,2023-01,9728.0,1911.0,19.65,1534.63,2932677.9,1408414.79,753496.13,218699.58,552067.4,18.82,20,7.96,3.35,17.0
REC000098,OUT0727,Franchise Outlet 0727,Franchise,Dehradun,Uttarakhand,North,2024-08,3619.0,516.0,14.27,1246.74,643317.58,322381.6,99490.17,50980.14,170465.66,26.5,25,16.35,2.92,26.0
REC000099,OUT0652,Franchise Outlet 0652,Franchise,Vijayawada,Andhra Pradesh,South,2023-06,10809.0,1788.0,16.54,924.49,1652985.99,1063797.21,409600.05,40108.35,139480.38,8.44,10,6.9,3.25,31.0
REC000100,OUT0063,Franchise Outlet 0063,Company-Owned,Chandigarh,Chandigarh,North,2025-08,6875.0,1293.0,18.82,1415.33,1830019.07,1004082.67,468440.81,60164.85,297330.74,16.25,16,2.13,2.76,27.0
REC000101,OUT0338,Franchise Outlet 0338,Franchise,Jammu,Jammu & Kashmir,North,2023-07,7465.0,1308.0,17.52,1229.44,1608103.11,784647.99,337617.46,,424119.5,26.37,20,9.18,3.42,27.0
REC000102,OUT0346,Franchise Outlet 0346,Franchise,Vadodara,Gujarat,West,2023-01,10811.0,3381.0,31.28,1343.98,4544007.76,2705371.34,1172893.41,145241.92,520501.09,11.45,15,6.84,3.52,27.0
REC000103,OUT0505,Franchise Outlet 0505,Company-Owned,Kolkata,West Bengal,East,2026-04,3993.0,711.0,17.82,776.74,552262.49,315333.56,152904.74,28209.1,55815.09,10.11,17,9.93,3.67,24.0
REC000104,OUT0733,Franchise Outlet 0733,Franchise,Indore,Madhya Pradesh,West,2025-05,5747.0,1141.0,19.86,532.95,608096.54,317215.88,107139.16,44011.59,139729.91,22.98,18,4.12,3.81,11.0
REC000105,OUT0617,Franchise Outlet 0617,Franchise,Bengaluru,Karnataka,South,2024-09,6728.0,2067.0,30.73,,2131615.21,1186759.54,325625.13,98847.64,520382.9,24.41,17,7.58,3.93,17.0
REC000106,OUT0418,Franchise Outlet 0418,Franchise,Patna,Bihar,East,2025-10,4671.0,999.0,21.41,615.05,614438.85,299703.49,139695.23,44333.92,130706.21,21.27,14,6.01,3.58,16.0
REC000107,OUT0516,Franchise Outlet 0516,Franchise,Lucknow,Uttar Pradesh,North,2023-09,11331.0,2785.0,24.58,1656.26,4612686.12,2110620.88,1053298.88,334240.35,1114526.01,24.16,13,15.32,3.46,26.0
REC000108,OUT0080,Franchise Outlet 0080,Franchise,Coimbatore,Tamil Nadu,South,2025-04,8351.0,1321.0,15.82,1179.91,1558665.96,924348.61,407582.18,57885.74,168849.43,10.83,18,7.18,2.59,37.0
REC000109,OUT0533,Franchise Outlet 0533,Franchise,Mysuru,Karnataka,South,2024-08,4395.0,1490.0,33.91,560.49,835126.58,386208.85,133155.72,26836.96,288925.05,34.6,21,6.6,4.1,17.0
REC000110,OUT0628,Franchise Outlet 0628,Franchise,Patna,Bihar,East,2023-02,2055.0,359.0,17.49,1315.53,472274.48,278136.4,68492.2,13190.82,112455.06,23.81,26,12.85,3.52,26.0
REC000111,OUT0054,Franchise Outlet 0054,Franchise,Visakhapatnam,Andhra Pradesh,South,2023-05,6000.0,767.0,12.8,1150.66,882558.22,436660.81,131571.83,68235.62,246089.97,27.88,28,11.59,2.54,28.0
REC000112,OUT0519,Franchise Outlet 0519,Franchise,Mumbai,Maharashtra,West,2023-07,8457.0,1828.0,21.62,937.85,1714396.25,814365.21,444228.24,113224.77,342578.03,19.98,23,4.61,3.51,26.0
REC000113,OUT0056,Franchise Outlet 0056,Franchise,Bhubaneswar,Odisha,East,2025-07,6380.0,1188.0,18.63,1109.98,1318656.52,598239.19,254036.78,50475.88,415904.68,31.54,31,10.78,2.72,26.0
REC000114,OUT0677,Franchise Outlet 0677,Franchise,Bengaluru,Karnataka,South,2023-11,11152.0,2122.0,,1189.4,2523899.78,1449170.53,510320.62,145618.78,418789.85,16.59,27,11.05,3.78,11.0
REC000115,OUT0586,Franchise Outlet 0586,Franchise,Vadodara,Gujarat,West,2023-08,2607.0,449.0,17.26,484.56,217568.89,113740.41,46273.85,9620.39,47934.24,22.03,11,7.82,3.03,28.0
REC000116,OUT0665,Franchise Outlet 0665,Franchise,Jaipur,Rajasthan,North,2024-04,6893.0,878.0,12.75,1174.45,1031168.71,617041.01,153974.05,53202.23,206951.43,20.07,26,7.91,3.67,20.0
REC000117,OUT0558,Franchise Outlet 0558,Franchise,Hyderabad,Telangana,South,2024-02,6204.0,1840.0,29.66,1882.81,3464377.07,2091934.44,536018.11,180509.68,655914.84,18.93,18,6.79,3.43,15.0
REC000118,OUT0519,Franchise Outlet 0519,Franchise,Mumbai,Maharashtra,West,2024-07,8705.0,1852.0,21.28,947.62,1754988.68,996119.54,277883.17,112875.92,368110.05,20.98,23,5.29,3.54,26.0
REC000119,OUT0246,Franchise Outlet 0246,Company-Owned,Lucknow,Uttar Pradesh,North,2023-09,3028.0,633.0,20.91,1113.45,704816.4,417184.28,175457.36,20383.17,91791.58,13.02,15,6.92,2.94,25.0
REC000120,OUT0748,Franchise Outlet 0748,Franchise,Patna,Bihar,East,2024-03,12541.0,3203.0,25.55,1341.08,4295480.36,2424111.95,997666.63,284344.23,589357.55,13.72,21,8.98,3.33,16.0
REC000121,OUT0004,Franchise Outlet 0004,Company-Owned,Delhi,Delhi,North,2025-04,2995.0,495.0,16.55,873.42,432341.84,257325.28,68103.21,30879.38,76033.97,17.59,20,3.91,2.97,14.0
REC000122,OUT0610,Franchise Outlet 0610,Franchise,Pune,Maharashtra,West,2025-12,6741.0,685.0,10.18,906.6,621024.05,346201.32,119929.72,18416.56,136476.44,21.98,15,14.6,2.68,34.0
REC000123,OUT0094,Franchise Outlet 0094,Franchise,Delhi,Delhi,North,2025-11,2388.0,482.0,20.21,1190.23,573689.0,287216.41,121302.98,24867.03,140302.58,24.46,33,10.21,3.44,25.0
REC000124,OUT0174,Franchise Outlet 0174,Franchise,Visakhapatnam,Andhra Pradesh,South,2024-05,9865.0,1908.0,19.35,569.3,1086232.7,608137.28,183370.41,59498.38,235226.63,21.66,22,9.01,3.75,20.0
