date,outlet_id,outlet_name,city,region,revenue,target_revenue,previous_month_revenue,orders,avg_order_value,customer_rating,complaint_rate,on_time_service_pct,benchmark_revenue,benchmark_gap_pct,performance_score,health_category,rank,alert_level,insight,recommendation,source_performance_score,source_rank,source_benchmark_revenue,source_benchmark_gap_pct,target_achievement_pct,revenue_growth_pct,revenue_component_score,growth_component_score,rating_component_score,complaint_component_score,service_component_score,issue_tags
2026-01-01,OUT-008,Jaipur Malviya Nagar,Jaipur,North,884040.37,921500.0,884040.37,1901,465.04,4.02,3.92,89.35,977246.985,-9.5376723009281,79.7,Good,11,Low,Jaipur Malviya Nagar needs attention due to revenue below target. Its score is 79.7 and it ranks #11 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,73.5,10,1046921.455,-15.6,95.93492892023873,0.0,95.93492892023873,50.0,80.39999999999999,60.8,89.35,revenue below target
2026-01-01,OUT-012,Kolkata Park Street,Kolkata,East,449169.06,950000.0,449169.06,904,496.87,2.99,8.04,66.19,977246.985,-54.03730409053142,48.9,Critical,12,High,"Kolkata Park Street needs attention due to revenue below 90% of target, low customer rating. Its score is 48.9 and it ranks #12 for the month.","Run a complaint root-cause review, assign owners to recurring issues, and verify closure within seven days.",47.6,11,449169.06,0.0,47.28095368421052,0.0,47.28095368421052,50.0,59.80000000000001,19.60000000000001,66.19,"revenue below 90% of target, low customer rating, elevated complaint rate, service delays"
2026-02-01,OUT-005,Mumbai Andheri,Mumbai,West,1237788.54,1079437.5,1185407.29,2442,506.87,4.85,1.12,95.5,985275.4175,25.628683920757627,91.2,Excellent,1,Low,"Mumbai Andheri is a leading outlet with a 91.2 score, 114.7% target achievement, and +4.4% monthly growth.",Maintain the operating plan and document the outlet's strongest practice for replication across peers.,88.3,1,1059722.778333333,16.8,114.66977384054195,4.418839874014946,100.0,61.04709968503737,97.0,88.8,95.5,No major issue
2026-02-01,OUT-001,Ahmedabad Central,Ahmedabad,West,1151631.65,1132210.0,1070580.13,2712,424.64,4.22,3.86,89.26,985275.4175,16.88423658453855,84.8,Good,2,Low,Ahmedabad Central is stable with a 84.8 score and 101.7% target achievement; no major operating risk is detected.,"Run a complaint root-cause review, assign owners to recurring issues, and verify closure within seven days.",79.9,2,1059722.778333333,8.7,101.71537523957568,7.57080369126597,100.0,68.92700922816493,84.39999999999999,61.4,89.26,No major issue
2026-02-01,OUT-002,Surat Citylight,Surat,West,1044247.64,1074640.0,968222.33,2058,507.41,4.04,3.89,92.61,985275.4175,5.985354090091264,83.7,Good,3,Low,Surat Citylight needs attention due to revenue below target. Its score is 83.7 and it ranks #3 for the month.,"Run a complaint root-cause review, assign owners to recurring issues, and verify closure within seven days.",78.4,3,1059722.778333333,-1.5,97.17185662175241,7.8520508817432555,97.17185662175241,69.63012720435813,80.80000000000001,61.1,92.61,revenue below target
2026-02-01,OUT-003,Vadodara Alkapuri,Vadodara,West,1049560.57,1017070.0,1016469.69,2294,457.52,4.19,3.41,85.61,985275.4175,6.524587070599484,83.2,Good,4,Low,Vadodara Alkapuri is stable with a 83.2 score and 103.2% target achievement; no major operating risk is detected.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,77.9,4,1059722.778333333,-1.0,103.19452643377547,3.2554713953153014,100.0,58.13867848828825,83.80000000000001,65.9,85.61,No major issue
2026-02-01,OUT-007,Delhi Connaught Place,Delhi,North,1142770.53,1170590.0,1209802.54,2269,503.65,4.27,2.57,96.58,985275.4175,15.984881963220202,82.3,Good,5,Low,"Delhi Connaught Place needs attention due to revenue below target, declining monthly revenue. Its score is 82.3 and it ranks #5 for the month.",Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,74.7,5,1012563.32,12.9,97.6234659445237,-5.540739730964694,97.6234659445237,36.148150672588265,85.39999999999999,74.3,96.58,"revenue below target, declining monthly revenue"
2026-02-01,OUT-008,Jaipur Malviya Nagar,Jaipur,North,882356.11,930715.0,884040.37,1925,458.37,4.12,2.75,86.99,985275.4175,-10.445739909064564,81.0,Good,6,Low,Jaipur Malviya Nagar needs attention due to revenue below target. Its score is 81.0 and it ranks #6 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,74.3,6,1012563.32,-12.9,94.8041140413553,-0.1905184488350975,94.8041140413553,49.523703877912254,82.4,72.5,86.99,revenue below target
2026-02-01,OUT-006,Pune Baner,Pune,West,1023389.61,1045855.0,1070302.62,2321,440.93,4.2,3.13,91.11,985275.4175,3.868379523434117,80.9,Good,7,Low,Pune Baner needs attention due to revenue below target. Its score is 80.9 and it ranks #7 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,73.7,9,1059722.778333333,-3.4,97.85195940163788,-4.3831538037345075,97.85195940163788,39.04211549066373,84.00000000000001,68.7,91.11,revenue below target
2026-02-01,OUT-009,Bengaluru Indiranagar,Bengaluru,South,1109514.96,1151400.0,1123674.9,2181,508.72,3.98,3.06,92.04,985275.4175,12.609625724271151,80.9,Good,8,Low,Bengaluru Indiranagar needs attention due to revenue below target. Its score is 80.9 and it ranks #8 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,74.1,7,989745.23,12.1,96.36225117248567,-1.260145616850561,96.36225117248567,46.849635957873595,79.60000000000001,69.4,92.04,revenue below target
2026-02-01,OUT-010,Hyderabad Jubilee Hills,Hyderabad,South,1025790.14,1065045.0,1066318.4,2347,437.06,4.3,3.42,91.58,985275.4175,4.112020028146093,80.6,Good,9,Low,Hyderabad Jubilee Hills needs attention due to revenue below target. Its score is 80.6 and it ranks #9 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,73.7,9,989745.23,3.6,96.31425338835449,-3.8007653248785633,96.31425338835449,40.49808668780359,86.0,65.8,91.58,revenue below target
2026-02-01,OUT-004,Rajkot Kalawad,Rajkot,West,851718.66,901930.0,860312.11,1796,474.23,4.36,3.94,87.35,985275.4175,-13.55527146296634,79.8,Good,10,Low,Rajkot Kalawad needs attention due to revenue below target. Its score is 79.8 and it ranks #10 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,73.6,10,1059722.778333333,-19.6,94.43290055769296,-0.9988758614591586,94.43290055769296,47.502810346352106,87.20000000000002,60.6,87.35,revenue below target
2026-02-01,OUT-011,Chennai T Nagar,Chennai,South,833930.59,873145.0,822664.38,1755,475.17,3.93,4.11,90.8,985275.4175,-15.360662086142021,79.6,Good,11,Low,Chennai T Nagar needs attention due to revenue below target. Its score is 79.6 and it ranks #11 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,73.8,8,989745.23,-15.7,95.50883186641393,1.3694782798302274,95.50883186641393,53.42369569957557,78.60000000000001,58.9,90.8,revenue below target
2026-02-01,OUT-012,Kolkata Park Street,Kolkata,East,470606.01,959500.0,449169.06,925,508.76,3.04,7.61,69.46,985275.4175,-52.236095446885535,52.6,Critical,12,High,"Kolkata Park Street needs attention due to revenue below 90% of target, low customer rating. Its score is 52.6 and it ranks #12 for the month.","Run a complaint root-cause review, assign owners to recurring issues, and verify closure within seven days.",51.7,11,470606.01,0.0,49.04700468994268,4.772579393602938,49.04700468994268,61.93144848400735,60.8,23.89999999999999,69.46,"revenue below 90% of target, low customer rating, elevated complaint rate, service delays"
2026-03-01,OUT-009,Bengaluru Indiranagar,Bengaluru,South,1132841.95,1162800.0,1109514.96,2316,489.14,4.69,2.63,94.32,959107.5091666667,18.11417793864264,86.3,Excellent,1,Low,"Bengaluru Indiranagar is a leading outlet with a 86.3 score, 97.4% target achievement, and +2.1% monthly growth.",Maintain the operating plan and document the outlet's strongest practice for replication across peers.,79.7,2,972507.2166666668,16.5,97.42362831097351,2.1024493441710757,97.42362831097351,55.25612336042769,93.80000000000001,73.7,94.32,revenue below target
2026-03-01,OUT-005,Mumbai Andheri,Mumbai,West,1128575.58,1090125.0,1237788.54,2372,475.79,4.77,1.33,96.01,959107.5091666667,17.669350851040463,85.7,Excellent,2,Low,"Mumbai Andheri is a leading outlet with a 85.7 score, 103.5% target achievement, and -8.8% monthly growth.",Maintain the operating plan and document the outlet's strongest practice for replication across peers.,77.9,3,1032448.275,9.3,103.52717165462677,-8.823232440009498,100.0,27.941918899976255,95.39999999999999,86.7,96.01,declining monthly revenue
2026-03-01,OUT-001,Ahmedabad Central,Ahmedabad,West,1226774.23,1143420.0,1151631.65,2412,508.61,4.1,3.7,92.86,959107.5091666667,27.907895441867524,84.7,Good,3,Low,Ahmedabad Central is stable with a 84.7 score and 107.3% target achievement; no major operating risk is detected.,"Run a complaint root-cause review, assign owners to recurring issues, and verify closure within seven days.",81.2,1,1032448.275,18.8,107.28990484686291,6.524879721740895,100.0,66.31219930435223,82.0,63.0,92.86,No major issue
2026-03-01,OUT-007,Delhi Connaught Place,Delhi,North,1134752.54,1182180.0,1142770.53,2558,443.61,4.36,3.28,90.89,959107.5091666667,18.31338292679461,82.0,Good,4,Low,Delhi Connaught Place needs attention due to revenue below target. Its score is 82.0 and it ranks #4 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,75.4,4,982529.165,15.5,95.98813547852274,-0.7016272987018679,95.98813547852274,48.24593175324533,87.20000000000002,67.2,90.89,revenue below target
2026-03-01,OUT-002,Surat Citylight,Surat,West,1058547.7,1085280.0,1044247.64,2504,422.74,4.05,3.34,87.9,959107.5091666667,10.367992105466179,81.5,Good,5,Low,Surat Citylight needs attention due to revenue below target. Its score is 81.5 and it ranks #5 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,75.2,5,1032448.275,2.5,97.53682920536635,1.3694127189983307,97.53682920536635,53.423531797495826,81.0,66.6,87.9,revenue below target
2026-03-01,OUT-004,Rajkot Kalawad,Rajkot,West,868206.34,910860.0,851718.66,1732,501.27,3.92,3.34,89.49,959107.5091666667,-9.477682981092222,80.7,Good,6,Low,Rajkot Kalawad needs attention due to revenue below target. Its score is 80.7 and it ranks #6 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,74.5,6,1032448.275,-15.9,95.31721010912764,1.9358129361636722,95.31721010912764,54.83953234040918,78.4,66.6,89.49,revenue below target
2026-03-01,OUT-010,Hyderabad Jubilee Hills,Hyderabad,South,997599.19,1075590.0,1025790.14,1999,499.05,3.92,3.2,92.28,959107.5091666667,4.013281145799525,78.7,Good,7,Low,Hyderabad Jubilee Hills needs attention due to revenue below target. Its score is 78.7 and it ranks #7 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,72.0,7,972507.2166666668,2.6,92.74902053756541,-2.748218071193398,92.74902053756541,43.129454822016505,78.4,68.0,92.28,revenue below target
2026-03-01,OUT-003,Vadodara Alkapuri,Vadodara,West,976985.26,1027140.0,1049560.57,2221,439.89,4.2,3.33,90.64,959107.5091666667,1.863998630233505,78.6,Good,8,Low,"Vadodara Alkapuri needs attention due to revenue below target, declining monthly revenue. Its score is 78.6 and it ranks #8 for the month.",Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,71.4,9,1032448.275,-5.4,95.11704928247366,-6.914828174232957,95.11704928247366,32.71292956441761,84.00000000000001,66.7,90.64,"revenue below target, declining monthly revenue"
2026-03-01,OUT-008,Jaipur Malviya Nagar,Jaipur,North,830305.79,939930.0,882356.11,1690,491.31,4.37,2.88,93.64,959107.5091666667,-13.429330699180712,78.4,Good,9,Medium,"Jaipur Malviya Nagar needs attention due to revenue below 90% of target, declining monthly revenue. Its score is 78.4 and it ranks #9 for the month.",Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,71.5,8,982529.165,-15.5,88.33698147734405,-5.899015081337167,88.33698147734405,35.252462296657086,87.4,71.2,93.64,"revenue below 90% of target, declining monthly revenue"
2026-03-01,OUT-006,Pune Baner,Pune,West,935600.54,1056210.0,1023389.61,1909,490.1,4.14,2.5,91.41,959107.5091666667,-2.450921188917701,76.8,Good,10,Medium,"Pune Baner needs attention due to revenue below 90% of target, declining monthly revenue. Its score is 76.8 and it ranks #10 for the month.",Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,69.3,10,1032448.275,-9.4,88.5809204608932,-8.578264733408814,88.5809204608932,28.554338166477965,82.8,75.0,91.41,"revenue below 90% of target, declining monthly revenue"
2026-03-01,OUT-011,Chennai T Nagar,Chennai,South,787080.51,881790.0,833930.59,1551,507.47,4.01,4.16,90.57,959107.5091666667,-17.93615392669948,75.0,Good,11,Medium,"Chennai T Nagar needs attention due to revenue below 90% of target, declining monthly revenue. Its score is 75.0 and it ranks #11 for the month.",Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,68.7,11,972507.2166666668,-19.1,89.25940530058178,-5.6179831465350105,89.25940530058178,35.955042133662474,80.19999999999999,58.4,90.57,"revenue below 90% of target, declining monthly revenue"
2026-03-01,OUT-012,Kolkata Park Street,Kolkata,East,432020.48,969000.0,470606.01,858,503.52,2.98,8.5,71.34,959107.5091666667,-54.955990243954325,44.9,Critical,12,High,"Kolkata Park Street needs attention due to revenue below 90% of target, declining monthly revenue. Its score is 44.9 and it ranks #12 for the month.","Run a complaint root-cause review, assign owners to recurring issues, and verify closure within seven days.",43.0,12,432020.48,0.0,44.5841568627451,-8.199115434161165,44.5841568627451,29.502211414597088,59.599999999999994,15.0,71.34,"revenue below 90% of target, declining monthly revenue, low customer rating, elevated complaint rate, service delays"
2026-04-01,OUT-005,Mumbai Andheri,Mumbai,West,1158417.39,1100812.5,1128575.58,2648,437.47,4.73,1.14,97.65,958486.5891666667,20.859008680252714,90.3,Excellent,1,Low,"Mumbai Andheri is a leading outlet with a 90.3 score, 105.2% target achievement, and +2.6% monthly growth.",Maintain the operating plan and document the outlet's strongest practice for replication across peers.,84.4,1,1011028.585,14.6,105.23294293987395,2.644201286013992,100.0,56.61050321503498,94.60000000000001,88.6,97.65,No major issue
2026-04-01,OUT-009,Bengaluru Indiranagar,Bengaluru,South,1167489.9,1174200.0,1132841.95,2339,499.14,4.33,3.36,92.7,958486.5891666667,21.805554005199603,84.6,Good,2,Low,Bengaluru Indiranagar needs attention due to revenue below target. Its score is 84.6 and it ranks #2 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,78.4,2,1000929.6333333332,16.6,99.42853857945835,3.0584981426579283,99.42853857945835,57.64624535664482,86.6,66.4,92.7,revenue below target
2026-04-01,OUT-007,Delhi Connaught Place,Delhi,North,1157255.59,1193770.0,1134752.54,2608,443.73,4.3,3.63,94.81,958486.5891666667,20.73779676000979,83.1,Good,3,Low,Delhi Connaught Place needs attention due to revenue below target. Its score is 83.1 and it ranks #3 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,77.1,4,993342.64,16.5,96.94125250257588,1.9830799409358502,96.94125250257588,54.95769985233962,86.0,63.7,94.81,revenue below target
2026-04-01,OUT-010,Hyderabad Jubilee Hills,Hyderabad,South,1054759.12,1086135.0,997599.19,2188,482.07,3.93,3.16,88.14,958486.5891666667,10.04422304093323,82.8,Good,4,Low,Hyderabad Jubilee Hills needs attention due to revenue below target. Its score is 82.8 and it ranks #4 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,77.0,5,1000929.6333333332,5.4,97.11123571195111,5.729749038789844,97.11123571195111,64.32437259697461,78.60000000000001,68.4,88.14,revenue below target
2026-04-01,OUT-006,Pune Baner,Pune,West,1003954.75,1066565.0,935600.54,2190,458.43,4.11,3.76,92.43,958486.5891666667,4.743745123535268,82.8,Good,5,Low,Pune Baner needs attention due to revenue below target. Its score is 82.8 and it ranks #5 for the month.,"Run a complaint root-cause review, assign owners to recurring issues, and verify closure within seven days.",77.7,3,1011028.585,-0.7,94.12972955234797,7.305918185981386,94.12972955234797,68.26479546495347,82.2,62.400000000000006,92.43,revenue below target
2026-04-01,OUT-003,Vadodara Alkapuri,Vadodara,West,987021.76,1037210.0,976985.26,1960,503.58,4.24,2.72,85.76,958486.5891666667,2.9771069471240597,81.9,Good,6,Low,Vadodara Alkapuri needs attention due to revenue below target. Its score is 81.9 and it ranks #6 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,75.4,6,1011028.585,-2.4,95.16122675253807,1.0272928785025837,95.16122675253807,52.56823219625646,84.80000000000001,72.8,85.76,revenue below target
2026-04-01,OUT-002,Surat Citylight,Surat,West,1049352.09,1095920.0,1058547.7,2289,458.43,4.14,2.79,88.66,958486.5891666667,9.480101428683962,81.4,Good,7,Low,Surat Citylight needs attention due to revenue below target. Its score is 81.4 and it ranks #7 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,74.6,7,1011028.585,3.8,95.7507929410906,-0.868700579104742,95.7507929410906,47.82824855223814,82.8,72.1,88.66,revenue below target
2026-04-01,OUT-008,Jaipur Malviya Nagar,Jaipur,North,829429.69,949145.0,830305.79,1846,449.31,4.13,3.65,90.63,958486.5891666667,-13.464653613867695,77.7,Good,8,Medium,Jaipur Malviya Nagar needs attention due to revenue below 90% of target. Its score is 77.7 and it ranks #8 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,71.9,8,993342.64,-16.5,87.38703675413134,-0.10551534272693619,87.38703675413134,49.736211643182656,82.6,63.5,90.63,revenue below 90% of target
2026-04-01,OUT-011,Chennai T Nagar,Chennai,South,780539.88,890435.0,787080.51,1555,501.95,4.21,3.46,85.03,958486.5891666667,-18.5653833009159,77.3,Good,9,Medium,Chennai T Nagar needs attention due to revenue below 90% of target. Its score is 77.3 and it ranks #9 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,71.3,9,1000929.6333333332,-22.0,87.65826590374368,-0.8309988516930766,87.65826590374368,47.92250287076731,84.2,65.4,85.03,revenue below 90% of target
2026-04-01,OUT-001,Ahmedabad Central,Ahmedabad,West,1055961.61,1154630.0,1226774.23,2370,445.55,4.1,3.1,90.13,958486.5891666667,10.169680195325498,74.6,Good,10,Low,"Ahmedabad Central needs attention due to revenue below target, declining monthly revenue. Its score is 74.6 and it ranks #10 for the month.",Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,66.5,11,1011028.585,4.4,91.45454474593593,-13.923720911548642,91.45454474593593,15.190697721128394,82.0,69.0,90.13,"revenue below target, declining monthly revenue"
2026-04-01,OUT-004,Rajkot Kalawad,Rajkot,West,811463.91,919790.0,868206.34,1714,473.43,3.86,3.76,87.22,958486.5891666667,-15.339043949951565,73.8,Good,11,Medium,"Rajkot Kalawad needs attention due to revenue below 90% of target, declining monthly revenue. Its score is 73.8 and it ranks #11 for the month.",Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,67.2,10,1011028.585,-19.7,88.2227367116407,-6.53559267950058,88.2227367116407,33.661018301248546,77.2,62.400000000000006,87.22,"revenue below 90% of target, declining monthly revenue"
2026-04-01,OUT-012,Kolkata Park Street,Kolkata,East,446193.38,978500.0,432020.48,925,482.37,3.16,7.12,66.08,958486.5891666667,-53.44813531632903,51.6,Critical,12,High,"Kolkata Park Street needs attention due to revenue below 90% of target, low customer rating. Its score is 51.6 and it ranks #12 for the month.","Run a complaint root-cause review, assign owners to recurring issues, and verify closure within seven days.",50.4,12,446193.38,0.0,45.59973224322943,3.280608363751658,45.59973224322943,58.20152090937914,63.2,28.799999999999997,66.08,"revenue below 90% of target, low customer rating, elevated complaint rate, service delays"
2026-05-01,OUT-005,Mumbai Andheri,Mumbai,West,1107936.68,1111500.0,1158417.39,2208,501.78,4.78,1.14,98.98,992785.0041666668,11.59885326128493,88.0,Excellent,1,Low,"Mumbai Andheri is a leading outlet with a 88.0 score, 99.7% target achievement, and -4.4% monthly growth.",Maintain the operating plan and document the outlet's strongest practice for replication across peers.,79.7,4,1011876.3466666668,9.5,99.67941340530814,-4.357730679440164,99.67941340530814,39.10567330139959,95.60000000000001,88.6,98.98,revenue below target
2026-05-01,OUT-010,Hyderabad Jubilee Hills,Hyderabad,South,1154057.82,1096680.0,1054759.12,2361,488.8,4.1,2.49,89.43,992785.0041666668,16.244485478374443,87.1,Excellent,2,Low,"Hyderabad Jubilee Hills is a leading outlet with a 87.1 score, 105.2% target achievement, and +9.4% monthly growth.",Maintain the operating plan and document the outlet's strongest practice for replication across peers.,82.7,1,1056462.9366666668,9.2,105.23195645037751,9.414348557611895,100.0,73.53587139402974,82.0,75.1,89.43,No major issue
2026-05-01,OUT-007,Delhi Connaught Place,Delhi,North,1254463.04,1205360.0,1157255.59,2900,432.57,4.19,2.69,90.73,992785.0041666668,26.35797627231316,87.0,Excellent,3,Low,"Delhi Connaught Place is a leading outlet with a 87.0 score, 104.1% target achievement, and +8.4% monthly growth.",Maintain the operating plan and document the outlet's strongest practice for replication across peers.,82.2,2,1100185.45,14.0,104.07372403265416,8.399825487125101,100.0,70.99956371781275,83.80000000000001,73.1,90.73,No major issue
2026-05-01,OUT-008,Jaipur Malviya Nagar,Jaipur,North,945907.86,958360.0,829429.69,2248,420.78,4.21,3.31,81.32,992785.0041666668,-4.721782054515918,86.4,Excellent,4,Low,"Jaipur Malviya Nagar is a leading outlet with a 86.4 score, 98.7% target achievement, and +14.0% monthly growth.",Maintain the operating plan and document the outlet's strongest practice for replication across peers.,81.5,3,1100185.45,-14.0,98.70068241579365,14.043163803311653,98.70068241579365,85.10790950827914,84.2,66.9,81.32,"revenue below target, service delays"
2026-05-01,OUT-011,Chennai T Nagar,Chennai,South,849824.57,899080.0,780539.88,1843,461.11,4.06,2.48,90.87,992785.0041666668,-14.399938915945482,85.1,Excellent,5,Low,"Chennai T Nagar is a leading outlet with a 85.1 score, 94.5% target achievement, and +8.9% monthly growth.",Maintain the operating plan and document the outlet's strongest practice for replication across peers.,79.4,5,1056462.9366666668,-19.6,94.5215742759265,8.87650865449694,94.5215742759265,72.19127163624235,81.19999999999999,75.2,90.87,revenue below target
2026-05-01,OUT-009,Bengaluru Indiranagar,Bengaluru,South,1165506.42,1185600.0,1167489.9,2490,468.07,4.31,2.98,93.13,992785.0041666668,17.397665668642297,83.6,Good,6,Low,Bengaluru Indiranagar needs attention due to revenue below target. Its score is 83.6 and it ranks #6 for the month.,Compare the latest sales mix with the prior month and replicate practices from the strongest peer outlet.,76.8,7,1056462.9366666668,10.3,98.30519736842105,-0.1698926902922282,98.30519736842105,49.575268274269426,86.19999999999999,70.2,93.13,revenue below target
