Outlet_ID,Outlet_Name,Records,Average_Employees,Average_Productivity_Score,Average_Attendance_Rate,Average_Staff_Performance_Score,Top_Performer_Months,Needs_Improvement_Months,Balanced_Months,Understaffed_Months,Overstaffed_Months,Latest_Month,Latest_Staff_Performance_Score,Latest_Staff_Category,Latest_Scheduling_Status,Workforce_Category,Workforce_Alert_Level,Workforce_Insight,Workforce_Recommendation
OUT0071,Franchise Outlet 0071,40,16.0,61.17,93.43,70.63,0,1,24,0,16,2026-04-01,70.89,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 70.6/100 with 93.4% attendance. The latest workforce schedule is balanced, and 1 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0072,Franchise Outlet 0072,40,22.0,61.98,92.96,70.33,0,2,18,0,22,2026-04-01,68.5,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 70.3/100 with 93.0% attendance. The latest workforce schedule is overstaffed, and 2 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0073,Franchise Outlet 0073,40,13.0,41.7,93.25,61.31,0,38,0,2,38,2026-04-01,59.16,Needs Improvement,Overstaffed,Needs Improvement,High,"Average staff performance is 61.3/100 with 93.3% attendance. The latest workforce schedule is overstaffed, and 38 of 40 months were classified as needing improvement.",Rebalance excess shift coverage and use coaching or role changes to improve staff productivity.
OUT0074,Franchise Outlet 0074,40,14.0,99.43,94.59,92.47,35,0,0,40,0,2026-04-01,94.89,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 92.5/100 with 94.6% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0075,Franchise Outlet 0075,40,13.0,67.41,94.05,75.39,0,0,30,5,5,2026-04-01,78.77,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 75.4/100 with 94.0% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0076,Franchise Outlet 0076,40,16.0,60.5,92.94,69.95,0,1,18,0,22,2026-04-01,68.57,Meets Expectations,Overstaffed,Meets Expectations,Medium,"Average staff performance is 70.0/100 with 92.9% attendance. The latest workforce schedule is overstaffed, and 1 of 40 months were classified as needing improvement.",Align staffing hours with demand and move spare capacity to busier periods.
OUT0077,Franchise Outlet 0077,40,12.0,97.66,95.57,93.97,35,0,0,40,0,2026-04-01,94.97,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 94.0/100 with 95.6% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0078,Franchise Outlet 0078,40,20.0,58.97,92.23,67.95,0,10,9,0,31,2026-04-01,69.99,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 68.0/100 with 92.2% attendance. The latest workforce schedule is balanced, and 10 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0079,Franchise Outlet 0079,40,22.0,100.0,94.66,93.05,36,0,0,40,0,2026-04-01,93.7,Top Performer,Understaffed,Top Performer,Medium,"Average staff performance is 93.1/100 with 94.7% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
OUT0080,Franchise Outlet 0080,40,18.0,63.01,93.03,70.8,0,1,27,0,13,2026-04-01,76.26,Meets Expectations,Balanced,Meets Expectations,Low,"Average staff performance is 70.8/100 with 93.0% attendance. The latest workforce schedule is balanced, and 1 of 40 months were classified as needing improvement.",Maintain the current schedule and continue monitoring attendance and productivity.
OUT0081,Franchise Outlet 0081,40,17.0,66.47,95.42,78.63,0,0,31,5,4,2026-04-01,86.9,Meets Expectations,Understaffed,Meets Expectations,Medium,"Average staff performance is 78.6/100 with 95.4% attendance. The latest workforce schedule is understaffed, and 0 of 40 months were classified as needing improvement.",Review demand-based rosters and add coverage during peak periods.
