Outlet_ID,Records,Total_Marketing_Spend,Total_Sales_Revenue,Total_Orders,Average_Conversion_Rate,Revenue_Per_Marketing_Rupee,Marketing_Spend_Percentage,Marketing_Category,Alert_Level,Marketing_Insights,Recommendations,Marketing_Effectiveness_Score,Effectiveness_Category,Campaign_Records,Total_Marketing_Reach,Total_Marketing_Conversions,Average_Campaign_ROI,High_Performing_Campaigns,Needs_Improvement_Campaigns,Primary_Campaign_Type,Customer_Engagement_Rate,Campaign_Performance_Category,Marketing_Effectiveness_Insight,Marketing_Effectiveness_Recommendation
OUT0014,40,2564597.86,53643501.61,30375.0,19.75,20.92,4.78,Moderate,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,55.11,Moderate,40,38689,3756,1.82,10,6,Digital Campaign,9.71,Moderate,"Marketing effectiveness is 55.1/100 (Moderate). Campaign ROI averages 1.82, with 9.71% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0015,39,3047398.51,62252696.18,52683.0,19.41,20.43,4.9,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,56.56,Moderate,40,73161,7121,1.98,10,6,Digital Campaign,9.73,Moderate,"Marketing effectiveness is 56.6/100 (Moderate). Campaign ROI averages 1.98, with 9.73% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0016,38,4734611.43,97823953.32,83405.0,37.65,20.66,4.84,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,75.62,High Performing,40,69644,13040,2.33,21,4,Digital Campaign,18.72,High Performing,"Marketing effectiveness is 75.6/100 (High Performing). Campaign ROI averages 2.33, with 18.72% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0017,40,3348335.93,67323220.11,111228.0,26.17,20.11,4.97,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,68.33,Moderate,40,113942,15085,1.94,9,1,Digital Campaign,13.24,Moderate,"Marketing effectiveness is 68.3/100 (Moderate). Campaign ROI averages 1.94, with 13.24% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0018,39,2460328.04,54659142.91,42895.0,29.38,22.22,4.5,High Performing,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,66.74,Moderate,40,37859,5420,1.95,12,6,Digital Campaign,14.32,Moderate,"Marketing effectiveness is 66.7/100 (Moderate). Campaign ROI averages 1.95, with 14.32% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0019,39,3711455.37,72629817.84,49391.0,32.73,19.57,5.11,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,65.8,Moderate,40,43351,7167,2.03,10,2,Digital Campaign,16.53,Moderate,"Marketing effectiveness is 65.8/100 (Moderate). Campaign ROI averages 2.03, with 16.53% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0020,38,1674955.09,31447088.55,18497.0,11.86,18.77,5.33,Needs Improvement,High,Marketing efficiency is below the lower-performing outlet range. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Review marketing campaigns and redirect spending toward better-performing activities. Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",43.59,Moderate,40,37103,2210,1.31,6,22,Digital Campaign,5.96,Needs Improvement,"Marketing effectiveness is 43.6/100 (Moderate). Campaign ROI averages 1.31, with 5.96% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0021,40,9944725.24,194005262.25,185180.0,37.93,19.51,5.13,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,85.55,High Performing,40,153922,29373,2.71,15,3,Digital Campaign,19.08,High Performing,"Marketing effectiveness is 85.5/100 (High Performing). Campaign ROI averages 2.71, with 19.08% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0022,40,2805663.77,47171668.22,30860.0,13.28,16.81,5.95,Needs Improvement,High,Marketing efficiency is below the lower-performing outlet range. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Review marketing campaigns and redirect spending toward better-performing activities. Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",42.89,Moderate,40,59540,3948,1.23,0,21,Digital Campaign,6.63,Needs Improvement,"Marketing effectiveness is 42.9/100 (Moderate). Campaign ROI averages 1.23, with 6.63% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0023,37,1386492.78,27524424.41,20340.0,21.92,19.85,5.04,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,53.97,Moderate,40,21973,2385,1.45,8,20,Digital Campaign,10.85,Moderate,"Marketing effectiveness is 54.0/100 (Moderate). Campaign ROI averages 1.45, with 10.85% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0024,36,1799477.57,35983809.85,39318.0,18.16,20.0,5.0,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,53.27,Moderate,40,56485,5051,1.5,6,15,Digital Campaign,8.94,Moderate,"Marketing effectiveness is 53.3/100 (Moderate). Campaign ROI averages 1.50, with 8.94% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0025,39,4368480.86,80293004.57,52218.0,28.18,18.38,5.44,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,60.34,Moderate,40,55456,7929,1.94,8,3,Digital Campaign,14.3,Moderate,"Marketing effectiveness is 60.3/100 (Moderate). Campaign ROI averages 1.94, with 14.30% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0026,40,5256562.63,109471057.4,139514.0,27.48,20.83,4.8,High Performing,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,73.86,Moderate,40,150885,20964,2.5,19,1,Digital Campaign,13.89,High Performing,"Marketing effectiveness is 73.9/100 (Moderate). Campaign ROI averages 2.50, with 13.89% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0027,40,3686831.6,77416103.08,45632.0,15.86,21.0,4.76,Needs Improvement,Medium,Marketing efficiency is among the stronger outlet results. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Continue monitoring successful campaigns and consider scaling effective activities. Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",53.77,Moderate,40,78992,6322,2.25,13,2,Digital Campaign,8.0,Moderate,"Marketing effectiveness is 53.8/100 (Moderate). Campaign ROI averages 2.25, with 8.00% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0028,40,9939667.88,201282780.14,153688.0,33.07,20.25,4.94,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,79.16,High Performing,40,145473,24384,2.82,19,2,Digital Campaign,16.76,High Performing,"Marketing effectiveness is 79.2/100 (High Performing). Campaign ROI averages 2.82, with 16.76% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0029,37,3085797.8,58613013.45,37293.0,18.25,18.99,5.26,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,51.42,Moderate,40,59841,5577,1.75,4,5,Digital Campaign,9.32,Moderate,"Marketing effectiveness is 51.4/100 (Moderate). Campaign ROI averages 1.75, with 9.32% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0030,40,798288.25,16742580.69,11292.0,15.92,20.97,4.77,Needs Improvement,Medium,Marketing efficiency is among the stronger outlet results. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Continue monitoring successful campaigns and consider scaling effective activities. Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",49.85,Moderate,40,14301,1054,1.28,6,20,Digital Campaign,7.37,Needs Improvement,"Marketing effectiveness is 49.9/100 (Moderate). Campaign ROI averages 1.28, with 7.37% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0031,38,5310374.46,106573945.83,80797.0,24.9,20.07,4.98,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,63.73,Moderate,40,103602,12802,2.42,20,2,Digital Campaign,12.36,High Performing,"Marketing effectiveness is 63.7/100 (Moderate). Campaign ROI averages 2.42, with 12.36% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0032,36,2678003.27,60539547.18,35005.0,20.35,22.61,4.42,Moderate,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,58.99,Moderate,40,49229,5073,2.23,16,0,Digital Campaign,10.3,Moderate,"Marketing effectiveness is 59.0/100 (Moderate). Campaign ROI averages 2.23, with 10.30% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0033,37,8956665.23,172350473.43,136831.0,28.52,19.24,5.2,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,71.75,Moderate,40,162052,23110,2.77,17,1,Digital Campaign,14.26,High Performing,"Marketing effectiveness is 71.8/100 (Moderate). Campaign ROI averages 2.77, with 14.26% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0034,39,3950748.3,80361380.67,74001.0,26.05,20.34,4.92,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,64.37,Moderate,40,82241,10763,2.2,13,1,Digital Campaign,13.09,Moderate,"Marketing effectiveness is 64.4/100 (Moderate). Campaign ROI averages 2.20, with 13.09% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0035,40,1603501.77,32242394.45,67331.0,28.4,20.11,4.97,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,65.16,Moderate,40,52777,7224,1.43,6,19,Digital Campaign,13.69,Moderate,"Marketing effectiveness is 65.2/100 (Moderate). Campaign ROI averages 1.43, with 13.69% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0036,38,2911740.94,58310783.23,58680.0,18.41,20.03,4.99,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,55.74,Moderate,40,88385,8176,1.9,8,4,Digital Campaign,9.25,Moderate,"Marketing effectiveness is 55.7/100 (Moderate). Campaign ROI averages 1.90, with 9.25% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0037,40,2578234.17,53102329.85,29953.0,18.95,20.6,4.86,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,53.87,Moderate,40,39417,3703,1.78,8,8,Digital Campaign,9.39,Moderate,"Marketing effectiveness is 53.9/100 (Moderate). Campaign ROI averages 1.78, with 9.39% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0038,40,1006111.71,22199881.34,46993.0,16.2,22.07,4.53,Needs Improvement,Medium,Marketing efficiency is among the stronger outlet results. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Continue monitoring successful campaigns and consider scaling effective activities. Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",56.01,Moderate,40,60169,4558,1.42,6,14,Digital Campaign,7.58,Moderate,"Marketing effectiveness is 56.0/100 (Moderate). Campaign ROI averages 1.42, with 7.58% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0039,39,5325282.52,112625745.55,96042.0,32.21,21.15,4.73,High Performing,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,73.37,Moderate,40,93167,14854,2.51,19,1,Digital Campaign,15.94,High Performing,"Marketing effectiveness is 73.4/100 (Moderate). Campaign ROI averages 2.51, with 15.94% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0040,39,5100803.39,92743012.03,55544.0,17.94,18.18,5.5,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,51.88,Moderate,40,95016,8595,2.07,11,1,Digital Campaign,9.05,Moderate,"Marketing effectiveness is 51.9/100 (Moderate). Campaign ROI averages 2.07, with 9.05% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0041,39,4505899.92,94431219.76,109415.0,26.45,20.96,4.77,Moderate,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,69.78,Moderate,40,123794,16540,2.36,16,1,Digital Campaign,13.36,High Performing,"Marketing effectiveness is 69.8/100 (Moderate). Campaign ROI averages 2.36, with 13.36% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0042,39,1028982.91,19910229.03,12333.0,20.63,19.35,5.17,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,51.15,Moderate,40,12805,1237,1.16,6,24,Digital Campaign,9.66,Needs Improvement,"Marketing effectiveness is 51.1/100 (Moderate). Campaign ROI averages 1.16, with 9.66% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0043,39,1628707.75,30190923.12,23725.0,23.73,18.54,5.39,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,53.65,Moderate,40,23191,2650,1.27,6,27,Digital Campaign,11.43,Needs Improvement,"Marketing effectiveness is 53.6/100 (Moderate). Campaign ROI averages 1.27, with 11.43% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0044,39,8429711.31,164358081.57,116114.0,25.71,19.5,5.13,Moderate,Low,Marketing efficiency is within the middle range of outlet performance. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring marketing performance and optimize campaigns using sales and conversion trends.,67.48,Moderate,40,146113,18845,2.56,16,0,Digital Campaign,12.9,High Performing,"Marketing effectiveness is 67.5/100 (Moderate). Campaign ROI averages 2.56, with 12.90% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0045,40,267347.46,5369232.57,11548.0,15.33,20.08,4.98,Needs Improvement,Medium,Marketing efficiency is within the middle range of outlet performance. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",47.89,Moderate,40,14106,979,1.0,3,23,Digital Campaign,6.94,Needs Improvement,"Marketing effectiveness is 47.9/100 (Moderate). Campaign ROI averages 1.00, with 6.94% engagement across 40 campaigns.","Review low-ROI campaigns, narrow audience targeting, and move budget to campaign types with stronger conversion results."
OUT0046,39,2033101.33,40751261.77,58671.0,17.42,20.04,4.99,Needs Improvement,Medium,Marketing efficiency is within the middle range of outlet performance. Conversion rate is below the lower-performing outlet range. Marketing spend represents a relatively lower proportion of sales revenue.,"Improve campaign targeting, customer engagement, offers, and conversion-focused activities.",54.94,Moderate,40,81594,6956,1.51,5,12,Digital Campaign,8.53,Moderate,"Marketing effectiveness is 54.9/100 (Moderate). Campaign ROI averages 1.51, with 8.53% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
OUT0047,39,1465712.74,32133131.53,34599.0,27.54,21.92,4.56,High Performing,Low,Marketing efficiency is among the stronger outlet results. Conversion rate is among the stronger outlet results. Marketing spend represents a relatively lower proportion of sales revenue.,Continue monitoring successful campaigns and consider scaling effective activities.,63.76,Moderate,40,28498,3777,1.68,10,16,Digital Campaign,13.25,Moderate,"Marketing effectiveness is 63.8/100 (Moderate). Campaign ROI averages 1.68, with 13.25% engagement across 40 campaigns.",Continue the strongest campaign mix and scale spend only where ROI and engagement remain above the network benchmark.
OUT0048,40,3681889.05,69992589.36,52854.0,23.47,19.01,5.26,Needs Improvement,Medium,Marketing efficiency is below the lower-performing outlet range. Conversion rate is within the middle range of outlet performance. Marketing spend represents a relatively lower proportion of sales revenue.,Review marketing campaigns and redirect spending toward better-performing activities.,57.56,Moderate,40,62403,7332,1.98,11,3,Digital Campaign,11.75,Moderate,"Marketing effectiveness is 57.6/100 (Moderate). Campaign ROI averages 1.98, with 11.75% engagement across 40 campaigns.",Test campaign offers and targeting to improve conversion while protecting revenue per marketing rupee.
