date,outlet_id,outlet_name,city,region,revenue,target_revenue,previous_month_revenue,orders,avg_order_value,customer_rating,complaint_rate,on_time_service_pct,benchmark_revenue,benchmark_gap_pct,performance_score,health_category,rank,alert_level,insight,recommendation
2026-02-01,OUT-005,Mumbai Andheri,Mumbai,West,1237788.54,1079437.5,1185407.29,2442,506.87,4.85,1.12,95.5,1059722.778333333,16.8,88.3,Excellent,1,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-03-01,OUT-005,Mumbai Andheri,Mumbai,West,1128575.58,1090125.0,1237788.54,2372,475.79,4.77,1.33,96.01,1032448.275,9.3,77.9,Good,3,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-04-01,OUT-005,Mumbai Andheri,Mumbai,West,1158417.39,1100812.5,1128575.58,2648,437.47,4.73,1.14,97.65,1011028.585,14.6,84.4,Good,1,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-05-01,OUT-005,Mumbai Andheri,Mumbai,West,1107936.68,1111500.0,1158417.39,2208,501.78,4.78,1.14,98.98,1011876.3466666668,9.5,79.7,Good,4,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-06-01,OUT-005,Mumbai Andheri,Mumbai,West,1231671.95,1122187.5,1107936.68,2712,454.16,4.72,1.57,96.85,1044805.1466666666,17.9,89.4,Excellent,1,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-07-01,OUT-005,Mumbai Andheri,Mumbai,West,1280004.37,1132875.0,1231671.95,2732,468.52,4.74,1.42,96.9,1122480.086666667,14.0,87.0,Excellent,1,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-08-01,OUT-005,Mumbai Andheri,Mumbai,West,1322285.76,1143562.5,1280004.37,2987,442.68,4.79,1.48,98.22,1151947.725,14.8,87.8,Excellent,1,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-01-01,OUT-006,Pune Baner,Pune,West,1070302.62,1035500.0,1070302.62,2366,452.37,4.22,2.9,93.14,1028549.0283333332,4.1,78.1,Good,2,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-02-01,OUT-006,Pune Baner,Pune,West,1023389.61,1045855.0,1070302.62,2321,440.93,4.2,3.13,91.11,1059722.778333333,-3.4,73.7,Good,9,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-03-01,OUT-006,Pune Baner,Pune,West,935600.54,1056210.0,1023389.61,1909,490.1,4.14,2.5,91.41,1032448.275,-9.4,69.3,Needs Improvement,10,Medium,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-04-01,OUT-006,Pune Baner,Pune,West,1003954.75,1066565.0,935600.54,2190,458.43,4.11,3.76,92.43,1011028.585,-0.7,77.7,Good,3,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-05-01,OUT-006,Pune Baner,Pune,West,1038149.13,1076920.0,1003954.75,2342,443.27,4.06,2.93,91.94,1011876.3466666668,2.6,76.9,Good,6,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-06-01,OUT-006,Pune Baner,Pune,West,1072817.79,1087275.0,1038149.13,2519,425.89,4.16,3.9,89.64,1044805.1466666666,2.7,76.6,Good,5,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-07-01,OUT-006,Pune Baner,Pune,West,1156756.07,1097630.0,1072817.79,2582,448.01,3.98,3.63,90.07,1122480.086666667,3.1,80.5,Good,5,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-08-01,OUT-006,Pune Baner,Pune,West,1130121.19,1107985.0,1156756.07,2492,453.5,4.24,3.55,87.95,1151947.725,-1.9,75.2,Good,7,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-01-01,OUT-007,Delhi Connaught Place,Delhi,North,1209802.54,1159000.0,1209802.54,2722,444.45,4.23,3.65,95.8,1046921.455,15.6,78.1,Good,2,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-02-01,OUT-007,Delhi Connaught Place,Delhi,North,1142770.53,1170590.0,1209802.54,2269,503.65,4.27,2.57,96.58,1012563.32,12.9,74.7,Good,5,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-03-01,OUT-007,Delhi Connaught Place,Delhi,North,1134752.54,1182180.0,1142770.53,2558,443.61,4.36,3.28,90.89,982529.165,15.5,75.4,Good,4,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-04-01,OUT-007,Delhi Connaught Place,Delhi,North,1157255.59,1193770.0,1134752.54,2608,443.73,4.3,3.63,94.81,993342.64,16.5,77.1,Good,4,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-05-01,OUT-007,Delhi Connaught Place,Delhi,North,1254463.04,1205360.0,1157255.59,2900,432.57,4.19,2.69,90.73,1100185.45,14.0,82.2,Good,2,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-06-01,OUT-007,Delhi Connaught Place,Delhi,North,1266095.38,1216950.0,1254463.04,2837,446.28,4.09,2.9,91.24,1076805.405,17.6,78.0,Good,4,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-07-01,OUT-007,Delhi Connaught Place,Delhi,North,1319647.56,1228540.0,1266095.38,3078,428.74,4.26,2.01,91.8,1132066.495,16.6,82.2,Good,4,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-08-01,OUT-007,Delhi Connaught Place,Delhi,North,1277300.03,1240130.0,1319647.56,2977,429.06,4.37,1.7,92.55,1088339.905,17.4,78.1,Good,5,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-01-01,OUT-008,Jaipur Malviya Nagar,Jaipur,North,884040.37,921500.0,884040.37,1901,465.04,4.02,3.92,89.35,1046921.455,-15.6,73.5,Good,10,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-02-01,OUT-008,Jaipur Malviya Nagar,Jaipur,North,882356.11,930715.0,884040.37,1925,458.37,4.12,2.75,86.99,1012563.32,-12.9,74.3,Good,6,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-03-01,OUT-008,Jaipur Malviya Nagar,Jaipur,North,830305.79,939930.0,882356.11,1690,491.31,4.37,2.88,93.64,982529.165,-15.5,71.5,Good,8,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-04-01,OUT-008,Jaipur Malviya Nagar,Jaipur,North,829429.69,949145.0,830305.79,1846,449.31,4.13,3.65,90.63,993342.64,-16.5,71.9,Good,8,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-05-01,OUT-008,Jaipur Malviya Nagar,Jaipur,North,945907.86,958360.0,829429.69,2248,420.78,4.21,3.31,81.32,1100185.45,-14.0,81.5,Good,3,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions; improve staffing during peak hours.
2026-06-01,OUT-008,Jaipur Malviya Nagar,Jaipur,North,887515.43,967575.0,945907.86,1933,459.14,4.07,3.67,87.96,1076805.405,-17.6,69.5,Needs Improvement,10,Medium,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-07-01,OUT-008,Jaipur Malviya Nagar,Jaipur,North,944485.43,976790.0,887515.43,1946,485.35,4.05,3.95,85.75,1132066.495,-16.6,76.5,Good,7,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-08-01,OUT-008,Jaipur Malviya Nagar,Jaipur,North,899379.78,986005.0,944485.43,2003,449.02,4.04,3.39,88.44,1088339.905,-17.4,70.3,Good,10,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-01-01,OUT-009,Bengaluru Indiranagar,Bengaluru,South,1123674.9,1140000.0,1123674.9,2632,426.93,4.27,2.17,88.12,1004219.2266666666,11.9,76.9,Good,3,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-02-01,OUT-009,Bengaluru Indiranagar,Bengaluru,South,1109514.96,1151400.0,1123674.9,2181,508.72,3.98,3.06,92.04,989745.23,12.1,74.1,Good,7,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-03-01,OUT-009,Bengaluru Indiranagar,Bengaluru,South,1132841.95,1162800.0,1109514.96,2316,489.14,4.69,2.63,94.32,972507.2166666668,16.5,79.7,Good,2,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-04-01,OUT-009,Bengaluru Indiranagar,Bengaluru,South,1167489.9,1174200.0,1132841.95,2339,499.14,4.33,3.36,92.7,1000929.6333333332,16.6,78.4,Good,2,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-05-01,OUT-009,Bengaluru Indiranagar,Bengaluru,South,1165506.42,1185600.0,1167489.9,2490,468.07,4.31,2.98,93.13,1056462.9366666668,10.3,76.8,Good,7,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-06-01,OUT-009,Bengaluru Indiranagar,Bengaluru,South,1240729.97,1197000.0,1165506.42,2657,466.97,4.2,3.53,94.24,1067074.63,16.3,80.9,Good,3,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-07-01,OUT-009,Bengaluru Indiranagar,Bengaluru,South,1260754.33,1208400.0,1240729.97,2960,425.93,4.12,2.82,93.74,1049651.7833333334,20.1,79.0,Good,6,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-08-01,OUT-009,Bengaluru Indiranagar,Bengaluru,South,1101594.4,1219800.0,1260754.33,2414,456.34,4.34,2.74,90.39,1018436.3333333334,8.2,68.2,Needs Improvement,11,Medium,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-01-01,OUT-010,Hyderabad Jubilee Hills,Hyderabad,South,1066318.4,1054500.0,1066318.4,2474,431.01,4.13,2.95,89.47,1004219.2266666666,6.2,76.5,Good,5,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-02-01,OUT-010,Hyderabad Jubilee Hills,Hyderabad,South,1025790.14,1065045.0,1066318.4,2347,437.06,4.3,3.42,91.58,989745.23,3.6,73.7,Good,9,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-03-01,OUT-010,Hyderabad Jubilee Hills,Hyderabad,South,997599.19,1075590.0,1025790.14,1999,499.05,3.92,3.2,92.28,972507.2166666668,2.6,72.0,Good,7,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-04-01,OUT-010,Hyderabad Jubilee Hills,Hyderabad,South,1054759.12,1086135.0,997599.19,2188,482.07,3.93,3.16,88.14,1000929.6333333332,5.4,77.0,Good,5,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-05-01,OUT-010,Hyderabad Jubilee Hills,Hyderabad,South,1154057.82,1096680.0,1054759.12,2361,488.8,4.1,2.49,89.43,1056462.9366666668,9.2,82.7,Good,1,Low,Performance is stable with no major issue detected.,Maintain the current operating plan and share successful practices.
2026-06-01,OUT-010,Hyderabad Jubilee Hills,Hyderabad,South,1086365.04,1107225.0,1154057.82,2308,470.7,4.45,2.07,90.06,1067074.63,1.8,74.9,Good,8,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-07-01,OUT-010,Hyderabad Jubilee Hills,Hyderabad,South,1061806.56,1117770.0,1086365.04,2355,450.87,4.01,2.85,91.67,1049651.7833333334,1.2,73.5,Good,8,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions.
2026-08-01,OUT-010,Hyderabad Jubilee Hills,Hyderabad,South,1126364.68,1128315.0,1061806.56,2603,432.72,4.06,1.68,81.33,1018436.3333333334,10.6,78.9,Good,4,Low,Performance needs attention because the revenue target was missed.,Recommended action: review local sales conversion and promotions; improve staffing during peak hours.
2026-01-01,OUT-011,Chennai T Nagar,Chennai,South,822664.38,864500.0,822664.38,1768,465.31,4.18,3.47,87.03,1004219.2266666666,-18.1,74.1,Good,9,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-02-01,OUT-011,Chennai T Nagar,Chennai,South,833930.59,873145.0,822664.38,1755,475.17,3.93,4.11,90.8,989745.23,-15.7,73.8,Good,8,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-03-01,OUT-011,Chennai T Nagar,Chennai,South,787080.51,881790.0,833930.59,1551,507.47,4.01,4.16,90.57,972507.2166666668,-19.1,68.7,Needs Improvement,11,Medium,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-04-01,OUT-011,Chennai T Nagar,Chennai,South,780539.88,890435.0,787080.51,1555,501.95,4.21,3.46,85.03,1000929.6333333332,-22.0,71.3,Good,9,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-05-01,OUT-011,Chennai T Nagar,Chennai,South,849824.57,899080.0,780539.88,1843,461.11,4.06,2.48,90.87,1056462.9366666668,-19.6,79.4,Good,5,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-06-01,OUT-011,Chennai T Nagar,Chennai,South,874128.88,907725.0,849824.57,1763,495.82,4.17,3.85,90.09,1067074.63,-18.1,75.9,Good,6,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions.
2026-07-01,OUT-011,Chennai T Nagar,Chennai,South,826394.46,916370.0,874128.88,1923,429.74,4.1,2.78,81.52,1049651.7833333334,-21.3,69.4,Needs Improvement,10,Medium,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed.",Recommended action: review local sales conversion and promotions; improve staffing during peak hours.
2026-08-01,OUT-011,Chennai T Nagar,Chennai,South,827349.92,925015.0,826394.46,1778,465.33,3.79,3.9,88.86,1018436.3333333334,-18.8,70.7,Good,9,Low,"Performance needs attention because revenue is below the regional benchmark, the revenue target was missed, customer rating is weak.",Recommended action: review local sales conversion and promotions; run service-quality coaching.
2026-01-01,OUT-012,Kolkata Park Street,Kolkata,East,449169.06,950000.0,449169.06,904,496.87,2.99,8.04,66.19,449169.06,0.0,47.6,Critical,11,High,"Performance needs attention because the revenue target was missed, customer rating is weak, complaint rate is high.",Recommended action: review local sales conversion and promotions; run service-quality coaching; analyze the top complaint causes; improve staffing during peak hours.
2026-02-01,OUT-012,Kolkata Park Street,Kolkata,East,470606.01,959500.0,449169.06,925,508.76,3.04,7.61,69.46,470606.01,0.0,51.7,Needs Improvement,11,Medium,"Performance needs attention because the revenue target was missed, customer rating is weak, complaint rate is high.",Recommended action: review local sales conversion and promotions; run service-quality coaching; analyze the top complaint causes; improve staffing during peak hours.
2026-03-01,OUT-012,Kolkata Park Street,Kolkata,East,432020.48,969000.0,470606.01,858,503.52,2.98,8.5,71.34,432020.48,0.0,43.0,Critical,12,High,"Performance needs attention because the revenue target was missed, customer rating is weak, complaint rate is high.",Recommended action: review local sales conversion and promotions; run service-quality coaching; analyze the top complaint causes; improve staffing during peak hours.
2026-04-01,OUT-012,Kolkata Park Street,Kolkata,East,446193.38,978500.0,432020.48,925,482.37,3.16,7.12,66.08,446193.38,0.0,50.4,Needs Improvement,12,Medium,"Performance needs attention because the revenue target was missed, customer rating is weak, complaint rate is high.",Recommended action: review local sales conversion and promotions; run service-quality coaching; analyze the top complaint causes; improve staffing during peak hours.
2026-05-01,OUT-012,Kolkata Park Street,Kolkata,East,472402.26,988000.0,446193.38,943,500.96,3.09,7.48,67.46,472402.26,0.0,51.9,Needs Improvement,12,Medium,"Performance needs attention because the revenue target was missed, customer rating is weak, complaint rate is high.",Recommended action: review local sales conversion and promotions; run service-quality coaching; analyze the top complaint causes; improve staffing during peak hours.
2026-06-01,OUT-012,Kolkata Park Street,Kolkata,East,454446.24,997500.0,472402.26,990,459.04,2.82,7.5,68.58,454446.24,0.0,45.5,Critical,11,High,"Performance needs attention because the revenue target was missed, customer rating is weak, complaint rate is high.",Recommended action: review local sales conversion and promotions; run service-quality coaching; analyze the top complaint causes; improve staffing during peak hours.
2026-07-01,OUT-012,Kolkata Park Street,Kolkata,East,418234.1,1007000.0,454446.24,881,474.73,2.89,8.24,66.38,418234.1,0.0,41.4,Critical,11,High,"Performance needs attention because the revenue target was missed, customer rating is weak, complaint rate is high.",Recommended action: review local sales conversion and promotions; run service-quality coaching; analyze the top complaint causes; improve staffing during peak hours.
2026-08-01,OUT-012,Kolkata Park Street,Kolkata,East,368729.38,1016500.0,418234.1,735,501.67,2.98,7.41,68.28,368729.38,0.0,39.4,Critical,12,High,"Performance needs attention because the revenue target was missed, customer rating is weak, complaint rate is high.",Recommended action: review local sales conversion and promotions; run service-quality coaching; analyze the top complaint causes; improve staffing during peak hours.
